tcad_x_um,tcad_lateral_um,electric_field_V_per_cm,electron_velocity_cm_per_s,hole_velocity_cm_per_s,electron_active_drift_ps,hole_active_drift_ps,electron_full_contact_drift_ps,hole_full_contact_drift_ps,electron_multiplication_to_cathode,hole_multiplication_to_anode
-49.99999999999999,-70.0,1085.048397836882,68083.16373511277,54901.24976574279,0.0,839.265701580949,0.0,14618.224390674686,1.0,1.3980126022651844
-49.95234384765625,-70.0,2394.340430744001,154862.78556519662,122852.4133258316,50.385058877672144,776.4683083756655,50.385058877672144,14555.426997469403,1.0,1.3980126022651844
-49.90244140625,-70.0,3232.400502912355,236116.6527890692,177738.07204053775,77.06421149101995,742.1201963875513,77.06421149101995,14521.078885481289,1.0,1.3980126022651844
-49.85253896484375,-70.0,2551.375366481077,219601.51781527954,157234.64641191598,98.99358312522807,712.2132190151112,98.99358312522807,14491.171908108849,1.0,1.3980126022651844
-49.8026365234375,-70.0,2294.543004101704,237181.5916586732,161982.62716138762,120.87550774616628,680.9407986753184,120.87550774616628,14459.899487769057,1.0,1.3980126022651844
-49.75273408203125,-70.0,2500.276775197734,324556.0971452914,210755.9827365251,139.08318763443305,653.6982441555338,139.08318763443305,14432.65693324927,1.0,1.3980126022651844
-49.70283164062499,-70.0,3103.115625770737,549621.138587003,336017.91274813435,151.31069944392127,634.4337669336568,151.31069944392127,14413.392456027394,1.0,1.3980126022651844
-49.65292919921875,-70.0,20935.49482383477,5584678.927121823,3168406.3855154957,156.29719201736555,626.2207036164058,156.29719201736555,14405.179392710143,1.0,1.3980126022651844
-49.6030267578125,-70.0,164328.4103158414,42963740.14824973,23349405.794977475,156.8020469441597,625.3263427764099,156.8020469441597,14404.285031870148,1.0075842114419844,1.397515775991787
-49.55312431640625,-70.0,327751.2841434228,11150078.589825919,8661687.351281952,157.08389819764164,624.9314183770249,157.08389819764164,14403.890107470763,1.0586227801797097,1.3908392923678687
-49.503221875,-70.0,375608.9630306563,10602282.339147948,8314197.644206969,157.54301258723723,624.3432504017014,157.54301258723723,14403.301939495439,1.1926705284754224,1.3702466654667913
-49.45331943359375,-70.0,388771.5004771815,10594939.547223961,8249089.652883514,158.0138520931104,623.7406742149905,158.0138520931104,14402.699363308728,1.4080049621509436,1.337678337548535
-49.40341699218749,-70.0,392163.2899053334,10598625.22763111,8232963.2994977,158.48477280367132,623.1351369154529,158.48477280367132,14402.09382600919,1.6861228133126065,1.3005851226731293
-49.35351455078125,-70.0,392794.4332015836,10601858.481666408,8225128.474730651,158.95553982249194,622.5287184630622,158.95553982249194,14401.487407556799,2.0263648143993374,1.2629693971499423
-49.303612109375,-70.0,392512.2159105006,10602919.152677635,8219048.689070914,159.42621150216365,621.9217869306349,159.42621150216365,14400.880476024373,2.4356920977138716,1.2261486266919244
-49.25370966796875,-70.0,391727.9474000959,10602310.688898697,8213166.6858392665,159.89687314384503,621.3144135891613,159.89687314384503,14400.273102682899,2.924290560987542,1.1905987194591412
-49.2038072265625,-70.0,390411.4783765519,10600280.493473072,8206568.960418903,160.36759336322342,620.7065785967056,160.36759336322342,14399.665267690443,3.503287150513941,1.1565981360666868
-49.15390478515625,-70.0,388316.7485158014,10596439.3548254,8198132.730951141,160.83844397975383,620.0981864961689,160.83844397975383,14399.056875589906,4.182499722656028,1.1244409532273572
-49.10400234375,-70.0,384982.9136695781,10589830.490519661,8186270.454326324,161.30952687095075,619.4890405053203,161.30952687095075,14398.447729599058,4.966694142378658,1.0945380324922644
-49.05409990234375,-70.0,379656.3058862151,10579047.425475627,8168726.9375844,161.78099687094328,618.8787989060181,161.78099687094328,14397.837487999755,5.8489464916412555,1.067490689941341
-49.0041974609375,-70.0,371197.3819762186,10562606.872940848,8142526.431226102,162.2530741348976,618.266919867247,162.2530741348976,14397.225608960984,6.800232554308646,1.0441288138915186
-48.95429501953124,-70.0,358070.3369423226,10540144.73179462,8104437.797156322,162.72602191800885,617.6526178355582,162.72602191800885,14396.611306929295,7.757420456170598,1.02543371366865
-48.904392578125,-70.0,338587.3308579894,10515133.636053111,8052117.44305939,163.20003618606574,617.0348752043144,163.20003618606574,14395.99356429805,8.620059021576004,1.012212819468876
-48.85449013671874,-70.0,311580.6280529686,10499673.189290937,7985309.1483569695,163.6749629253922,616.4125396054267,163.6749629253922,14395.371228699163,9.276036451036875,1.0045035471741333
-48.8045876953125,-70.0,277426.214384545,10522556.642930383,7906323.609155572,164.14972227237408,615.7844899271824,164.14972227237408,14394.74317902092,9.663983078649371,1.0011330845772755
-48.75468525390625,-70.0,238824.6439278802,10646540.829490287,7819316.8829051545,164.62120343322096,615.14980710988,164.62120343322096,14394.108496203617,9.824239918497877,1.0001617266966225
-48.7047828125,-70.0,200440.9560555094,10990772.944045752,7729666.680107401,165.0825830254266,614.5079117710669,165.0825830254266,14393.466600864804,9.863864091336493,1.0000094241492223
-48.65488037109375,-70.0,167132.0752750983,11606280.541354356,7646652.223322449,165.52458306822123,613.858811081908,165.52458306822123,14392.817500175644,9.868253664852228,1.0000001406711458
-48.6049779296875,-70.0,141846.1359082663,11443042.455893507,7585327.779009936,165.957610489167,613.203567964766,165.957610489167,14392.162257058502,9.868354555511283,1.0000000009267656
-48.55507548828125,-70.0,124809.2049196433,10230693.828197824,7556641.266952022,166.41954348546935,612.5444380938432,166.41954348546935,14391.50312718758,9.868355523749809,1.0000000004588656
-48.50517304687499,-70.0,114369.7406251376,10030316.425221246,7555604.406594449,166.9121874566016,611.8840141870438,166.9121874566016,14390.842703280781,9.868355965598628,1.000000000458132
-48.45527060546875,-70.0,108389.9509245464,10082322.767093498,7567700.216807216,167.40842044308596,611.224072797625,167.40842044308596,14390.182761891363,9.868356015796078,1.00000000045813
-48.4053681640625,-70.0,105115.7002427124,10116989.896231746,7581993.943439202,167.9025222892951,610.5652808074877,167.9025222892951,14389.523969901225,9.868356020944294,1.00000000045813
-48.35546572265625,-70.0,103381.2130929717,10142242.730932381,7594052.582314179,168.39516206355935,609.9076329434257,168.39516206355935,14388.866322037164,9.868356022370998,1.00000000045813
-48.30556328125,-70.0,102490.9797409414,10159167.386781722,7602991.183204173,168.88677792471688,609.2508939165431,168.88677792471688,14388.20958301028,9.86835602311017,1.00000000045813
-48.25566083984375,-70.0,102051.8411404283,10170112.00607001,7609196.258410897,169.3777196340182,608.5948087887369,169.3777196340182,14387.553497882474,9.868356023646719,1.00000000045813
-48.2057583984375,-70.0,101848.3148759005,10177041.897575783,7613343.81922465,169.86822997694946,607.9391699156413,169.86822997694946,14386.89785900938,9.868356024108321,1.00000000045813
-48.15585595703125,-70.0,101765.2117151163,10181381.052772742,7616059.488831731,170.35846877191815,607.2838265383127,170.35846877191815,14386.24251563205,9.868356024540471,1.00000000045813
-48.105953515625,-70.0,101742.4350538407,10184090.740936957,7617827.620878467,170.84853787314168,606.6286760607082,170.84853787314168,14385.587365154446,9.868356024962312,1.00000000045813
-48.05605107421874,-70.0,101749.351069161,10185793.718760667,7618990.162408111,171.33850080694017,605.9736516007911,171.33850080694017,14384.932340694528,9.868356025382608,1.00000000045813
-48.0061486328125,-70.0,101770.6648511567,10186882.573135072,7619774.939219893,171.82839659514,605.318710846658,171.82839659514,14384.277399940394,9.86835602580554,1.00000000045813
-47.95624619140625,-70.0,101798.8732092038,10187599.891643941,7620328.969560754,172.318248953887,604.6638276283952,172.318248953887,14383.622516722133,9.868356026233146,1.00000000045813
-47.90634375,-70.0,101830.3486353598,10188092.894477548,7620746.809591566,172.80807221495868,604.0089861701299,172.80807221495868,14382.967675263868,9.868356026666454,1.00000000045813
-47.85644130859375,-70.0,101863.3583505882,10188450.101294175,7621089.579527678,173.29787503805713,603.3541773904333,173.29787503805713,14382.31286648417,9.868356027106012,1.00000000045813
-47.8065388671875,-70.0,101897.0828832859,10188726.001484266,7621394.939251103,173.78766264320623,602.6993964540995,173.78766264320623,14381.658085547837,9.868356027552139,1.00000000045813
-47.75663642578125,-70.0,101931.1379352557,10188955.38637115,7621683.309913105,174.27743810355187,602.0446410220485,174.27743810355187,14381.003330115786,9.868356028005046,1.00000000045813
-47.706733984375,-70.0,101965.3442396575,10189159.83714317,7621964.254682356,174.76720313691172,601.3899100436296,174.76720313691172,14380.348599137367,9.868356028464895,1.00000000045813
-47.65683154296875,-70.0,101999.6189531424,10189351.731124042,7622241.983118011,175.25695864475148,600.7352030599485,175.25695864475148,14379.693892153686,9.868356028931816,1.00000000045813
-47.6069291015625,-70.0,102033.9244158213,10189537.631736968,7622518.195191851,175.74670507324277,600.0805198659992,175.74670507324277,14379.039208959737,9.868356029405929,1.00000000045813
-47.55702666015625,-70.0,102068.2433389481,10189720.660438552,7622793.617335448,176.23644263576668,599.4258603610158,176.23644263576668,14378.384549454753,9.86835602988734,1.00000000045813
-47.50712421875,-70.0,102102.5677447995,10189902.283255752,7623068.576520428,176.72617143544161,598.771224489486,176.72617143544161,14377.729913583224,9.86835603037616,1.00000000045813
-47.45722177734375,-70.0,102136.8939646292,10190083.188798357,7623343.220708779,177.2158915235998,598.1166122163017,177.2158915235998,14377.075301310038,9.868356030872496,1.00000000045813
-47.4073193359375,-70.0,102171.2203165431,10190263.696674624,7623617.617333573,177.70560292734166,597.4620235156094,177.70560292734166,14376.420712609346,9.868356031376454,1.00000000045813
