vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,253.0,-450.0,1005.207021401171,7.003499683547749e-05,0.5451894817739237,253.0,1005.207021401174,70688.08214339096,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,69.89876364007722,53.50181611607542,2.711410555702861e-08,3900.245659425918,3.425207571171402e-06,3.065666265454015e-06,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,253.0,-450.0,1005.213668542379,6.272645423449966e-05,0.5451894204933014,253.0,1005.213668542381,-480678.4272941301,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,70.44975725600649,53.73136299331093,2.742192078625809e-08,4201.255495826527,1.102365655354994e-06,9.923522374185178e-07,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,253.0,-450.0,1005.213676256308,2.946470267666491e-08,0.5451894204797278,253.0,1005.213676256308,424128.1522957137,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,70.4497743429413,53.73137025719625,2.761816492602043e-08,4423.303020285663,1.200791160297481e-06,1.063234539578525e-06,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,253.0,-450.0,1005.21367436732,6.663839248622558e-09,0.545189420472043,253.0,1005.21367436732,14137.67091906572,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,70.44977435209843,53.73137026108376,2.683136538853904e-08,4465.310257851204,-2.283471714664121e-06,-2.073307351611982e-06,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,253.0,-450.0,1005.21366835199,7.426337288036697e-09,0.5451894204589639,253.0,1005.21366835199,-14137.53469311689,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,70.44977435631654,53.73137026253269,2.650587056696048e-08,4464.744127962807,-6.299232316315142e-07,-5.670584206901914e-07,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,253.0,-450.0,1005.213654162195,2.085828280492146e-08,0.545189420430926,253.0,1005.213654162195,197926.5073982528,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,70.44977436416143,53.73137026503247,2.658791703279851e-08,4463.478303123155,2.814969441353646e-06,2.534042314934909e-06,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,253.0,-450.0,1005.213611215999,1.607463313691866e-07,0.5451894203488209,253.0,1005.213611215999,438265.755101805,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,70.4497744015962,53.73137027822838,2.652212610076975e-08,4461.230188314435,-1.141735857332622e-06,-1.027793383478855e-06,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,253.0,-450.0,1005.213329787084,8.449994378716529e-05,0.5451894198144781,253.0,1005.213329787088,862393.8392845447,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,70.44978776954967,53.73137569939384,2.712858500355065e-08,4460.025146969476,2.834654542349055e-06,2.551762834674271e-06,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,253.0,-450.0,1005.193121244708,0.0,0.5451891773037095,253.0,1005.193121244708,268614.5214288679,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,70.7253334149122,53.84616888611983,2.71346241740574e-08,4714.891812520713,1.141735858432859e-06,1.027784508117401e-06,0.0,0.9790943686951504,0.8629737477666202,0.0,0.0
97,-48.55507548828125,-17.5,253.0,-450.0,112749.0871008007,0.01033053214009231,-32.47111477296435,253.0,112749.0871008012,-1.713038723543235e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,103.3338872492648,75.27878787820629,11615344.22873818,8457741.325175999,-26020130606451.9,-6.063683414473798e-09,284086982.933462,0.0,0.0,0.006389237487334787,6.631245350456101e-09
98,-48.6049779296875,-8.75,253.0,-450.0,129822.4370816818,0.1928974608782675,-31.87549607702323,253.0,129822.4370818251,-2.711267997932417e+16,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,90.34348473250714,66.07604385560577,11658915.8693392,8522782.687901791,-35912956051811.59,-6.134561177094219e-09,22247669411.47065,0.0,0.0,0.4976191030285398,1.967503679973147e-05
99,-48.6049779296875,-17.5,253.0,-450.0,129822.3454150971,0.01001565373027988,-31.87548098587915,253.0,129822.3454150975,-2.711268144559761e+16,-2.711268144585389e+16,11202922288.6673,2.711269264877618e+16,90.34331690728202,66.07610164843743,11658898.74323385,8522789.159920514,-35912959587685.98,-6.134279046657533e-09,22255316586.88013,0.0,0.0,0.4976590707023951,1.967404912882571e-05
100,-48.55507548828125,-26.25,253.0,-450.0,112749.0682255777,0.001964075947773005,-32.47111209710958,253.0,112749.0682255777,-1.713038790773813e+16,-1.713038790799605e+16,10394307610.23349,1.713039830230366e+16,103.3339106177102,75.27880453998323,11615344.05407996,8457741.156857766,-26020132686301.68,-6.063423203782382e-09,284084134.0654658,0.0,0.0,0.006389176084161847,6.631126955151903e-09
101,-48.50517304687499,-26.25,253.0,-450.0,102273.0617531837,0.002034132840737807,-33.00076915724483,253.0,102273.0617531837,-1.001678382832383e+16,-1.001678382858267e+16,10128791872.45466,1.001679395737455e+16,113.527606617403,82.42762829613538,11597340.47926597,8416988.22166038,-19077111522920.98,-6.008241918910421e-09,4596506.703193934,0.0,0.0,0.0001037018365441937,3.263560387043753e-12
102,-48.50517304687499,-35.0,253.0,-450.0,102273.0560885751,0.0005374750685949843,-33.00076834202111,253.0,102273.0560885751,-1.001678404999636e+16,-1.00167840502552e+16,10128791893.31887,1.001679417904709e+16,113.5276137215712,82.42763331632442,11597340.42809354,8416988.170291085,-19077112296243.6,-6.008104996311984e-09,4596491.271649597,0.0,0.0,0.0001037014963204737,3.263540316919749e-12
103,-48.45527060546875,-35.0,253.0,-450.0,96256.61575620387,0.0005556367596702388,-33.49184634752656,253.0,96256.61575620387,-5574017601931225.0,-5574017602190481.0,10052594038.29195,5574027654784520.0,120.5088616264258,87.279496291808,11596174.59104079,8395983.737968078,-14778559117354.85,-5.965272709246341e-09,196791.194691623,0.0,0.0,4.451201842797638e-06,8.872250143214337e-15
104,-48.45527060546875,-43.75000000000001,253.0,-450.0,96256.61506302838,-0.0002882993999894964,-33.49184620902395,253.0,96256.61506302838,-5574017666090905.0,-5574017666350158.0,10052594040.7729,5574027718944200.0,120.5088621856048,87.27949668941432,11596174.58587852,8395983.733094642,-14778559411829.62,-5.965200016794019e-09,196791.0436359017,0.0,0.0,4.451198442859754e-06,8.872235765352062e-15
105,-48.4053681640625,-43.75000000000001,253.0,-450.0,92945.67163584282,-0.0003009420225130208,-33.96145622548192,253.0,92945.67163584282,-3005850056565992.0,-3005850056825392.0,10033788552.02433,3005860090613944.0,124.8360250951641,90.26239538588479,11602773.25720275,8387328.303283078,-12303884305433.97,-5.931696480788766e-09,26407.60624404853,0.0,0.0,5.985864034505634e-07,1.854769403160666e-16
106,-48.4053681640625,-52.5,253.0,-450.0,92945.67676529793,-0.003120729118253316,-33.96145688256916,253.0,92945.67676529799,-3005850060008206.0,-3005850060267604.0,10033788552.04629,3005860094056156.0,124.8360144252679,90.26238793258103,11602773.31917294,8387328.369832207,-12303884430909.6,-5.931651042154439e-09,26407.68588006612,0.0,0.0,5.985881677638348e-07,1.854777453799142e-16
107,-48.35546572265625,-52.5,253.0,-450.0,91174.48859892442,-0.0032214843257726,-34.41949007820158,253.0,91174.48859892448,-1583947471856328.0,-1583947472115742.0,10030041677.98583,1583957502157420.0,127.3457204722694,91.97915043203137,11611378.86510918,8385091.552074699,-10934313300113.39,-5.905262059670084e-09,8548.316228589065,0.0,0.0,1.940996085777288e-07,2.039239809820831e-17
108,-48.35546572265625,-61.25,253.0,-450.0,91174.51875066783,-0.05829270645355599,-34.41949498373245,253.0,91174.51875068646,-1583947412871730.0,-1583947413131150.0,10030041677.62867,1583957443172828.0,127.3458830202334,91.97909596025643,11611389.04878173,8385087.264328912,-10934312931703.98,-5.90539162195209e-09,8548.303417510071,0.0,0.0,1.940940830819894e-07,2.039318593269589e-17
109,-48.30556328125,-61.25,253.0,-450.0,90247.58980288793,-0.05786155572364483,-34.87142785225711,253.0,90247.58980290648,-818063614222857.5,-818063614482249.2,10029630360.86823,818073644112610.1,128.7402827523725,92.92518713293677,11619291.40349361,8385625.673989412,-10194171995599.12,-5.884507436959624e-09,4727.110760752979,0.0,0.0,1.074840499306698e-07,6.46777263584013e-18
110,-48.30556328125,-70.0,253.0,-450.0,90247.4124728819,-0.8309861416002898,-34.8715244785451,253.0,90247.4124767077,-818067870114708.0,-818067870374069.4,10029630355.27816,818077900004424.6,128.5652778857777,92.80801305391716,11617764.52549339,8384726.586306123,-10194177545327.37,-5.883903262567138e-09,4725.264943046391,0.0,0.0,1.07454867826964e-07,6.468514062620362e-18
111,-48.25566083984375,-70.0,253.0,-450.0,89771.58572612275,-0.4751048581670981,-35.32030571347543,253.0,89771.58572737996,-414971604979596.8,-414971605238904.9,10029768004.19973,414981635006909.1,129.3990593163442,93.36892044745665,11624574.72948043,8386463.148813085,-9801440963265.834,-5.866946778675175e-09,3493.8101676243,0.0,0.0,7.954659943336976e-08,3.645130421420459e-18
112,-48.25566083984375,-61.25,253.0,-450.0,89771.7656820984,-0.0574266825590168,-35.32020999618499,253.0,89771.76568211678,-414969513752255.9,-414969514011610.3,10029768006.49012,414979543779616.8,129.4936789125927,93.43140792213737,11625569.25383708,8387034.213740837,-9801436756883.87,-5.867919612301418e-09,3494.816528263749,0.0,0.0,7.956355452819322e-08,3.64501255400638e-18
113,-48.30556328125,-52.5,253.0,-450.0,90247.5601878668,-0.003320644368679116,-34.87142279757806,253.0,90247.56018786685,-818063647568051.9,-818063647827437.9,10029630360.89746,818073677457798.6,128.740162176963,92.92522038299974,11619284.17795924,8385628.542614545,-10194172318738.19,-5.884378369458314e-09,4727.134581344973,0.0,0.0,1.074869465635425e-07,6.467552923828281e-18
114,-48.35546572265625,-43.75000000000001,253.0,-450.0,91174.4834934078,-0.0003134048485481569,-34.419489395578,253.0,91174.4834934078,-1583947469788594.0,-1583947470048010.0,10030041677.98338,1583957500089689.0,127.3457313547262,91.97915801914725,11611378.80363695,8385091.485198675,-10934313189309.97,-5.905307298171966e-09,8548.284753431193,0.0,0.0,1.940989087454111e-07,2.039228248324294e-17
115,-48.4053681640625,-35.0,253.0,-450.0,92945.67236990396,0.0005743057772081991,-33.96145636756827,253.0,92945.67236990396,-3005850015898904.0,-3005850016158307.0,10033788551.39106,3005860049946858.0,124.8360243875426,90.26239488753103,11602773.26288292,8387328.308932815,-12303884071963.88,-5.931768765155197e-09,26407.62588032132,0.0,0.0,5.985868480440978e-07,1.854772615959221e-16
116,-48.45527060546875,-26.25,253.0,-450.0,96256.62156062188,0.00210587459999966,-33.49184719142391,253.0,96256.6215606219,-5574017439392546.0,-5574017439651808.0,10052594031.92178,5574027492245840.0,120.5088533210805,87.27949045963527,11596174.64690779,8395983.795846077,-14778558525597.87,-5.96540865702743e-09,196792.0117115644,0.0,0.0,4.451219995191834e-06,8.872319683263721e-15
117,-48.50517304687499,-17.5,253.0,-450.0,102273.0810750046,0.01064765691989609,-33.00077192840571,253.0,102273.0810750051,-1.001678315532494e+16,-1.001678315558379e+16,10128791809.00535,1.00167932843756e+16,113.5275773983061,82.42760763313228,11597340.68379932,8416988.425506614,-19077109818701.69,-6.008499747691171e-09,4596571.293881119,0.0,0.0,0.0001037032515060882,3.263644173126338e-12
118,-48.55507548828125,-8.75,253.0,-450.0,112749.1789205927,0.1915245343855742,-32.4711303196172,253.0,112749.1789207554,-1.713038337580656e+16,-1.713038337606451e+16,10394306423.87494,1.713039377037093e+16,103.3340059858069,75.2788166549699,11615352.93306743,8457742.509695187,-26020125297012.73,-6.063962056983647e-09,283979565.4151341,0.0,0.0,0.006388786716459891,6.630859115025849e-09
119,-48.6049779296875,0.0,253.0,-450.0,129821.6444333421,2.003423044661307e-12,-31.87581733517271,253.0,129821.6444333421,-2.711280160747422e+16,-2.711280160773034e+16,11202767707.7472,2.711281281049804e+16,92.73098806029232,67.7719958733506,11665718.17349577,8526823.647158675,-35913108712768.49,-6.130249455261819e-09,22247404676.79918,0.9790943686951504,0.8629737477666202,0.4974810551417219,1.967677231682591e-05
120,-48.65488037109375,0.0,253.0,-450.0,155143.6341036432,1.328482407524616e-12,-31.17576286353789,253.0,155143.6341036432,-3.850601099629418e+16,-3.850601099654798e+16,13371092525.16258,3.85060243676405e+16,78.61957244010081,57.68420080807331,11734276.10042192,8609992.19328686,-47470642632972.74,-6.214418805764387e-09,950620816699.3062,0.9790943686951504,0.8629737477666202,20.36378376049008,0.01686716819365425
121,-48.65488037109375,-8.75,253.0,-450.0,155144.3698975908,0.193873082003691,-31.17543900764046,253.0,155144.3698977119,-3.850572212777537e+16,-3.850572212802928e+16,13371368746.55148,3.850573549939802e+16,76.25185813860818,55.98137181032669,11729122.74346024,8607120.261836499,-47470317380981.59,-6.21746501424015e-09,950594674882.792,0.0,0.0,20.36710903579876,0.0168645256161642
122,-48.65488037109375,-17.5,253.0,-450.0,155144.2754886146,0.009694773732281082,-31.17542437590936,253.0,155144.2754886149,-3.850571854738414e+16,-3.850571854763804e+16,13371374048.71971,3.850573191901209e+16,76.25174230520444,55.98145281240452,11729106.31963398,8607129.37681024,-47470316377278.98,-6.217178802504806e-09,950783462363.8777,0.0,0.0,20.36804568988883,0.01686343594701233
123,-48.6049779296875,-26.25,253.0,-450.0,129822.3268182339,0.001895372680008084,-31.87547840309837,253.0,129822.326818234,-2.71126816776341e+16,-2.711268167789038e+16,11202922722.19533,2.711269288081311e+16,90.34333440524583,66.07611423045735,11658898.60754075,8522789.032248573,-35912961750243.29,-6.134015787048842e-09,22255171057.39134,0.0,0.0,0.4976560714346513,1.967383062183707e-05
