vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,253.0,-610.0,1005.325328313941,7.003499683547749e-05,0.5451894817739237,253.0,1005.325328313944,70688.08214339096,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,69.89871483130212,53.50180129934971,8.258014633058341,483794.0496110197,3.425207571171402e-06,3.065666265454015e-06,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,253.0,-610.0,1005.33064144196,5.990019972777741e-05,0.5451894204933014,253.0,1005.330641441962,-480678.4272941301,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,70.44970804817966,53.73134815002108,8.23650630430865,485350.8493613759,1.102365655354994e-06,9.923522374185178e-07,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,253.0,-610.0,1005.33063757845,4.97076508452325e-09,0.5451894204797278,253.0,1005.33063757845,424128.1522957137,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,70.44972532180287,53.73135547056692,8.212637414046942,485350.8975569938,1.200791160297481e-06,1.063234539578525e-06,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,253.0,-610.0,1005.330633656881,2.357889230157438e-09,0.545189420472043,253.0,1005.330633656881,14137.67091906572,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,70.44972533312225,53.73135547510918,8.212328417884704,485350.8977067675,-2.283471714664121e-06,-2.073307351611982e-06,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,253.0,-610.0,1005.330626387624,4.769803629931735e-09,0.5451894204589639,253.0,1005.330626387624,-14137.53469311689,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,70.44972533797292,53.73135547674914,8.212226788180821,485350.8977922996,-6.299232316315142e-07,-5.670584206901914e-07,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,253.0,-610.0,1005.330611022078,1.836735667881041e-08,0.545189420430926,253.0,1005.330611022078,197926.5073982528,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,70.44972534632132,53.73135547940085,8.212142870646561,485350.8979297102,2.814969441353646e-06,2.534042314934909e-06,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,253.0,-610.0,1005.330567391764,1.592969826566411e-07,0.5451894203488209,253.0,1005.330567391764,438265.755101805,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,70.44972538411037,53.73135549270386,8.212086263806542,485350.8983421511,-1.141735857332622e-06,-1.027793383478855e-06,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,253.0,-610.0,1005.330280742055,8.448888297507353e-05,0.5451894198144781,253.0,1005.330280742059,862393.8392845447,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,70.44973875360984,53.73136091433727,8.21180119776921,485350.9733008728,2.834654542349055e-06,2.551762834674271e-06,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,253.0,-610.0,1005.308778983228,0.0,0.5451891773037095,253.0,1005.308778983228,268614.5214288679,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,70.72528429618579,53.84615411561398,8.213808372277462,486907.9523306517,1.141735858432859e-06,1.027784508117401e-06,0.0,0.0,0.0,0.0,0.0
97,-48.55507548828125,-17.5,253.0,-610.0,117294.3430638292,-0.03882287664353749,-32.90870994330453,253.0,117294.3430638356,-1.704991562211864e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,99.51257523223558,72.58861972706595,11639605.38368933,8486591.006838413,1889061998251.393,50926.32497138808,38008263708763.85,0.0,0.0,0.02028090598168764,5.263558951649457e-08
