event_id,primary_charge_fC,preirradiation_full_collection_charge_fC,effective_electron_multiplication,primary_electron_induced_charge_fC,primary_hole_induced_charge_fC,primary_charge_weighted_electron_active_drift_ps,primary_charge_weighted_hole_active_drift_ps,gain_charge_weighted_electron_active_drift_ps,primary_charge_weighted_electron_full_contact_drift_ps,primary_charge_weighted_hole_full_contact_drift_ps,max_electron_drift_ps,max_hole_drift_ps
0,0.5408093225112055,5.308164693451764,9.815224095627123,0.2819234226930981,0.2588858998181074,720.9595690790345,288.1816993162447,724.1321208351393,720.9595690790345,13905.995768004494,5821.551514728952,625.243473673521
1,0.6336945652201977,6.238926517497247,9.845321168770525,0.3837455469755919,0.24994901824460591,465.50162765470236,231.2177704900544,466.2749805229967,465.50162765470236,14339.078543265377,5821.551514728952,625.2434744920619
2,0.636865769820806,6.281287590755996,9.862812367075959,0.3563119379741135,0.2805538318466925,632.9488587217804,262.72133177824975,633.2726003288225,632.9488587217804,14054.19650325941,5821.551514728952,625.2434725107777
3,0.470846040855736,4.511382830995247,9.58143945056024,0.2194800140895382,0.2513660267661977,383.5854477699826,323.18724616091083,390.7064233261966,383.5854477699826,14452.195947775079,1643.4094414167116,625.2434706972691
4,0.6769091471780383,6.592647921162767,9.73933939088696,0.3914050793899547,0.2855040677880836,512.7663345841282,249.65787764491287,517.6565853108009,512.7663345841282,14257.709606513656,5821.551514728952,625.2434753616416
5,0.7796330319444359,7.614954060015907,9.767356882024236,0.36078452718504345,0.4188485047593926,383.7727836521845,325.3073548497352,386.24442100424056,383.7727836521845,14451.898087718115,5821.551514728952,625.2434749639472
6,0.5127977251058679,4.966110604451676,9.684346012702017,0.2656890683373688,0.2471086567684992,487.24636341946604,289.34499441485826,493.75555510552203,487.24636341946604,14289.739227867189,5821.551514728952,625.2434758847284
7,0.3910869312878471,3.730305238085513,9.53830194683734,0.2093597294695633,0.18172720181828383,536.7126280525669,278.0347672876747,550.257475877608,536.7126280525669,14211.467962539546,5821.551514728952,625.2434760069981
8,0.5975727333675506,5.819901194903706,9.739234857832853,0.3426181272247239,0.2549546061428265,704.7625235306327,253.4366670881045,712.2249042635076,704.7625235306327,13942.247113479263,5821.551514728952,625.2434736598807
9,0.6138394025540662,6.022688278536327,9.811504855304324,0.2474372579442382,0.3664021446098279,373.63899497638886,365.1988430239709,374.9746058159571,373.63899497638886,14458.224458935725,5821.551514728952,625.2434746123535
10,0.882995242358031,8.620344431234484,9.76261707618484,0.3676700860695569,0.5153251562884742,389.0216858404839,356.2108174299729,391.66867012421454,389.0216858404839,14434.792982035895,5821.551514728952,625.2434717767476
11,0.7084719498129332,6.8976802107492965,9.735996199384575,0.3814972007641341,0.3269747490487992,456.4909106132453,275.48509545331234,460.7315120691838,456.4909106132453,14343.697637189745,5821.551514728952,625.2434758085692
12,0.7092883698726208,6.918657035374674,9.754364133472508,0.3175125846179458,0.39177578525467477,393.658310561231,335.5601355331876,396.56753627575875,393.658310561231,14431.950226633933,5821.551514728952,625.2434725737478
13,0.5172387211092894,5.104634459705755,9.869010674139334,0.27083451774271816,0.24640420336657143,676.5122546305275,286.39993116479644,676.5337638418472,676.5122546305275,13980.760978226586,5821.551514728952,612.9907552238525
14,0.485621968518652,4.792593284611395,9.86897956702986,0.2392179489206098,0.2464040195980424,467.51127092899674,306.1733781494312,467.5194385809616,467.51127092899674,14317.118811676424,5821.551514728952,612.9907535761472
15,0.8183578880110921,7.994134340186607,9.768506490009239,0.41906141906768174,0.3992964689434105,507.16688084438266,293.25378984323106,510.8883772827393,507.16688084438266,14256.306787288235,5821.551514728952,625.2434757088961
16,0.7755097768810492,7.552252221381582,9.738435860544898,0.39714538522438003,0.3783643916566691,419.8191328552072,293.0334041752041,423.49002508680314,419.8191328552072,14399.683016854342,5821.551514728952,625.2434739072353
17,0.3696306862756916,3.647870109371469,9.868959057827466,0.17144108834831043,0.19818959792738114,491.7997742418117,325.2515194784715,491.8107312458073,491.7997742418117,14273.353943223034,5821.551514728952,612.9907483012045
18,0.7206108114757703,7.098521866415136,9.850701312512594,0.29376951131455137,0.426841300161219,391.22862282241545,362.3098546165865,391.68906051328946,391.22862282241545,14430.425475453707,5821.551514728952,625.2434714460727
19,0.6217934954673272,6.066431936273343,9.756345121805975,0.30158909869981937,0.3202043967675078,485.94543181718376,311.1159879845889,489.8752444403543,485.94543181718376,14287.664284811102,5821.551514728952,625.243470338696
20,0.44978803597461503,4.38595156925795,9.751152139372339,0.2183208819604923,0.23146715401412277,576.6010867445868,311.31086014052545,581.815376335693,576.6010867445868,14137.606446576663,5821.551514728952,625.2434740422384
21,0.5708801971664653,5.592452589861309,9.79619299744353,0.3078865035008211,0.2629936936656444,418.2177083351283,274.75044002727907,420.24037710800064,418.2177083351283,14407.358359691792,5821.551514728952,625.2434722115862
22,0.4662836273945485,4.540208836605264,9.737011059072724,0.24963431150619905,0.21664931588834935,560.4963878676633,278.0267290540817,566.1231002371825,560.4963878676633,14173.269355602293,5821.551514728952,625.2434753543132
23,0.6965670711806278,6.824462924448052,9.797280415339058,0.3934419106631606,0.3031251605174672,561.929110302457,258.5348113414001,564.985183001984,561.929110302457,14175.460229625245,5821.551514728952,625.2434732735016
24,0.5210731450475707,5.052132839934257,9.695630811050583,0.2738262568598012,0.2472468881877695,605.5112704044257,285.12842235924904,613.7395804189833,605.5112704044257,14095.007838524902,5821.551514728952,625.2434737473129
25,0.5676013270655424,5.52580314041168,9.735359797306465,0.3255305757701086,0.24207075129543384,444.2726286376953,252.40967961184492,448.3676166058136,444.2726286376953,14369.75007603424,5821.551514728952,625.2434724476375
26,0.43392115936509523,4.276160995773911,9.854695728668094,0.2275817906102924,0.20633936875480288,602.3422724225803,285.5709136903592,603.0203853092389,602.3422724225803,14101.023746493152,5821.551514728952,625.2434747414225
27,0.8340862422900316,8.22189600561256,9.857369164894596,0.3754777426499982,0.45860849964003336,473.6688816969144,334.10785407228406,474.0634680478586,473.6688816969144,14301.760550382376,5821.551514728952,625.2434742804901
28,0.7563646648795559,7.331958940036944,9.69368253235956,0.4017041577447579,0.3546605071347979,523.0917905635121,280.72315499863356,529.914786336863,523.0917905635121,14232.42129040872,5821.551514728952,625.2434728070563
29,0.7120296317304494,6.844469859212417,9.612619411046511,0.3682443237303104,0.34378530800013885,529.7012750408313,289.94245244412707,539.9357867481674,529.7012750408313,14221.032076476211,5821.551514728952,625.2434754087769
30,0.6116074406883225,5.945879473158723,9.721725207376549,0.3062052862772248,0.30540215441109775,518.8031459788268,300.8624361656492,524.4557826855553,518.8031459788268,14235.290847192682,5821.551514728952,625.2434756898389
31,0.610049499496075,5.781615944963692,9.477289875230674,0.32772251187018814,0.2823269876258869,550.7341309899145,276.8112485677177,567.4596056311979,550.7341309899145,14189.552507044464,5821.551514728952,625.2434741836527
32,0.9480987419621617,9.160599599874924,9.662073362650364,0.42181011100752325,0.5262886309546384,372.90525584331414,337.22069745236655,377.7570058746302,372.90525584331414,14466.74984778648,5821.551514728952,625.2434749667651
33,0.5648415361835879,5.451923712002263,9.652129602293003,0.28112355325164523,0.2837179829319428,584.7887700243,303.49703751823756,594.6573906413765,584.7887700243,14124.749099235647,5821.551514728952,625.2434722433502
34,1.213531146727247,11.7920501409396,9.717138429237185,0.5755002579169198,0.638030888810327,404.6210053863615,317.6169357215411,408.6577195245106,404.6210053863615,14419.374272906474,5821.551514728952,625.2434759254111
35,0.7162624108809081,7.031933200115466,9.817537669563194,0.34568415287813037,0.370578258002778,860.759124865577,314.5049251109972,864.5410048257812,860.759124865577,13671.569966554784,5821.551514728952,625.2434693869147
36,1.132281540483507,11.072875411187502,9.77925985303899,0.6899680197005522,0.4423135207829551,464.34466622145845,228.68500837964825,467.2699058379204,464.34466622145845,14342.04482752661,5821.551514728952,625.2434730956644
37,1.3871545525186955,13.668938086275677,9.853940255940913,0.6284376337428577,0.7587169187758381,419.82787021740177,331.99023872999715,420.25054844878116,419.82787021740177,14390.187128960983,5821.551514728952,625.2434743617819
38,0.7094075336151837,6.8521911509765445,9.659033526268553,0.3763201318862076,0.33308740172897633,472.3611571477373,280.8397988457289,479.45338914428027,472.3611571477373,14316.0797985092,5821.551514728952,625.2434745829963
39,0.506005716345587,4.9756382200566005,9.83316602822405,0.272953339245274,0.23305237710031293,435.713092549315,274.691294230372,436.7702386751915,435.713092549315,14378.275111616258,5821.551514728952,625.2434753702863
40,3.465314178718738,33.97034282884503,9.80296188941956,1.4909117819162814,1.974402396802457,371.6173009010933,346.47084421135816,373.1335053337489,371.6173009010933,14466.454585148955,5821.551514728952,625.2434760588519
