vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,300.0,-490.0,1084.978359866034,7.506657735235073e-05,0.5351434463640548,300.0,1084.978359866037,-70413.14513865528,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,62.74667562216036,50.59798055393159,3.684421163000461e-06,73071.36724543081,0.009057700228369861,0.007098829235348107,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,300.0,-490.0,1084.985784232736,6.786784415469784e-05,0.5351433806807996,300.0,1084.985784232739,565778.9813183422,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,63.15057290356915,50.76479661509617,3.675517373479516e-06,74876.0461133396,-0.003019233410183396,-0.002366271259702653,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,300.0,-490.0,1084.985792664414,3.191977942187636e-08,0.5351433806662516,300.0,1084.985792664414,127513.2943295521,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,63.15058552008432,50.76480182269841,3.667470722150713e-06,75420.42331038082,-0.005830243826561326,-0.004569351395843006,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,300.0,-490.0,1084.98579063548,7.133676014544148e-09,0.5351433806580146,300.0,1084.98579063548,-353165.2010775295,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,63.15058552685619,50.76480182548614,3.667733384893199e-06,75422.01445013357,-0.01186871064692871,-0.009301893910426127,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,300.0,-490.0,1084.98578413775,7.853473079291963e-09,0.5351433806439958,300.0,1084.98578413775,-324889.9954653078,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,63.1505855297134,50.76480182667099,3.667028447221058e-06,75421.9760165832,-0.01166048765312355,-0.009138702784943805,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,300.0,-490.0,1084.985768800951,2.208661311807711e-08,0.5351433806139434,300.0,1084.985768800951,-42137.93934339794,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,63.15058553489813,50.7648018288176,3.667323673778298e-06,75421.90671987153,-0.0001041114969029007,0.0,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,300.0,-490.0,1084.98572237444,1.714582322118827e-07,0.5351433805259398,300.0,1084.98572237444,268889.3223908559,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,63.15058556092054,50.76480183942616,3.668027484002592e-06,75421.7906934574,-0.014367386572605,-0.01126018731595495,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,300.0,-490.0,1084.985418122318,9.056525579811797e-05,0.5351433799532078,300.0,1084.985418122322,466815.761677729,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,63.15059554111347,50.76480583318371,3.667983151678517e-06,75421.86734733719,0.005830243826576664,0.004650946846551967,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,300.0,-490.0,1084.964229427296,0.0,0.5351431200194511,300.0,1084.964229427296,14412.47260657357,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,63.35257893762262,50.84822845816702,3.668382723413222e-06,76662.84820559947,-0.002811010419088013,-0.002203061102654131,0.0,0.9813301843504826,0.8780756806437107,0.0,0.0
97,-48.55507548828125,-17.5,300.0,-490.0,120993.3229139118,0.01071236106359863,-33.40075332834747,300.0,120993.3229139123,-1.713038719701981e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,84.0172277979187,63.34231991216441,10138722.37968042,7640645.130271649,-3122468157051374.0,-0.008537194186628266,101848913286.715,0.0,0.0,0.01902021686891091,6.374630952610543e-08
98,-48.6049779296875,-8.75,300.0,-490.0,138066.6757983026,0.1987112406540484,-32.76399443958841,300.0,138066.6757984456,-2.711267994117119e+16,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,74.04359626846879,56.12466207324741,10169194.53960995,7705039.70463198,-4303660029492594.0,-0.008609628883233472,4897664253851.713,0.0,0.0,0.9075554903543394,7.088860394189448e-05
