vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,300.0,-570.0,1084.978366099936,7.506657735235073e-05,0.5351434463640548,300.0,1084.978366099938,-70413.14513865528,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,62.74667562083816,50.59798055327796,0.0003942921337870441,258576.6287037941,0.009057700228369861,0.007098829235348107,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,300.0,-570.0,1084.98579040911,6.786772227671194e-05,0.5351433806807996,300.0,1084.985790409112,565778.9813183422,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,63.15057290223713,50.76479661444183,0.0003934554555771229,261374.7696242973,-0.003019233410183396,-0.002366271259702653,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,300.0,-570.0,1084.98579884098,3.192018767951721e-08,0.5351433806662516,300.0,1084.98579884098,127513.2943295521,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,63.15058551875633,50.76480182204607,0.0003925552106429402,261875.4290029823,-0.005830243826561326,-0.004569351395843006,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,300.0,-570.0,1084.98579681276,7.135186567815289e-09,0.5351433806580146,300.0,1084.98579681276,-353165.2010775295,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,63.15058552552809,50.76480182483372,0.0003925867412987472,261817.4883395875,-0.01186871064692871,-0.009301893910426127,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,300.0,-570.0,1084.985790315935,7.855392286570595e-09,0.5351433806439958,300.0,1084.985790315935,-324889.9954653078,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,63.15058552838511,50.76480182601847,0.0003926392558371185,261841.2993235982,-0.01166048765312355,-0.009138702784943805,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,300.0,-570.0,1084.985774980196,2.208885853510178e-08,0.5351433806139434,300.0,1084.985774980196,-42137.93934339794,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,63.15058553356961,50.76480182816498,0.0003927054432478483,261870.4202471283,-0.0001041114969029007,0.0,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,300.0,-570.0,1084.98572855486,1.714607229798585e-07,0.5351433805259398,300.0,1084.98572855486,268889.3223908559,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,63.15058555959178,50.76480183877342,0.000392783727323413,261903.21515961,-0.014367386572605,-0.01126018731595495,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,300.0,-570.0,1084.98542430374,9.056525792145406e-05,0.5351433799532078,300.0,1084.985424303744,466815.761677729,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,63.1505955397845,50.76480583253088,0.0003928477938286719,261929.9541539726,0.005830243826576664,0.004650946846551967,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,300.0,-570.0,1084.964235552927,0.0,0.5351431200194511,300.0,1084.964235552927,14412.47260657357,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,63.35257893629075,50.84822845751476,0.0003929539272700806,263695.3272576238,-0.002811010419088013,-0.002203061102654131,0.0,0.0,0.0,0.0,0.0
97,-48.55507548828125,-17.5,300.0,-570.0,125120.2566199919,0.01092996727019014,-33.85247218683342,300.0,125120.2566199924,-1.713038297959958e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,81.38892738430263,61.45343137367284,10158336.56833734,7667017.099007424,-2567903899763370.0,-0.9105236930321594,219582054449.4629,0.0,0.0,0.04761600450135369,3.327034743238287e-07
