temperature_K,bias_V,anode_conduction_current_A,operating_regime,state,fluence_neq_cm-2,active_acceptor_fraction,beta_e_cm2_per_ns,beta_h_cm2_per_ns,charge_MPV_fC,charge_median_fC,charge_p16_fC,charge_p84_fC,events,map
253.0,550.0,-3.796e-10,stable,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,4.070434110088078,4.785485096350278,3.7894906881053587,6.834367404782233,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V550/n590_T253_V550_map.csv
253.0,570.0,-0.1089,breakdown,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.801465953521014,3.296752023137987,2.6114902587721103,4.7066839093923525,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V570/n590_T253_V570_map.csv
253.0,590.0,-0.1308,breakdown,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.802813354724393,3.29841715238501,2.612828100912641,4.709259432899656,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V590/n590_T253_V590_map.csv
253.0,610.0,-0.1528,breakdown,D2_medium_low,1000000000000000.0,0.8,5e-16,7e-16,2.8041489661089765,3.3006518756175796,2.6144130073594116,4.712707018829469,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V610/n590_T253_V610_map.csv
253.0,450.0,-5.049e-10,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,1.8901282723864339,2.2341032406335763,1.7693854717183368,3.1885873110093677,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V450/n590_T253_V450_map.csv
253.0,470.0,-3.659e-09,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,2.0255580053986906,2.3925708658703506,1.8949398532833956,3.41609107017612,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V470/n590_T253_V470_map.csv
253.0,490.0,-3.977e-11,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,2.2476822416085147,2.6524858501156143,2.1009949459293904,3.790407376241491,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V490/n590_T253_V490_map.csv
253.0,510.0,-8e-11,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,2.4059797448417655,2.8376857579303643,2.2479079186294264,4.055406788249371,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V510/n590_T253_V510_map.csv
253.0,530.0,-5.055e-11,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,2.6339552702846145,3.105483015396743,2.459512844024704,4.435376268875553,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V530/n590_T253_V530_map.csv
253.0,550.0,-3.796e-10,stable,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,2.8370272150266684,3.3431256056305383,2.648518323663042,4.775841003904697,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V550/n590_T253_V550_map.csv
253.0,570.0,-0.1089,breakdown,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,2.0500463605256303,2.4212027943324927,1.9173984447386572,3.4568028369528756,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V570/n590_T253_V570_map.csv
253.0,590.0,-0.1308,breakdown,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,2.051356694768365,2.4227664288934556,1.918655540954487,3.4590190879261176,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V590/n590_T253_V590_map.csv
253.0,610.0,-0.1528,breakdown,D3_medium,1500000000000000.0,0.7,5e-16,7e-16,2.0526297546871937,2.4244232130337178,1.920107191597636,3.461361741539516,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V610/n590_T253_V610_map.csv
253.0,450.0,-5.049e-10,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.4058539771625767,1.669091911142818,1.3228329892727537,2.379964727525247,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V450/n590_T253_V450_map.csv
253.0,470.0,-3.659e-09,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.4915437658608153,1.7690539414210638,1.4023445880831282,2.522847478445244,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V470/n590_T253_V470_map.csv
253.0,490.0,-3.977e-11,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.6300481997302947,1.9318396884188975,1.5307899928278914,2.7552356964359204,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V490/n590_T253_V490_map.csv
253.0,510.0,-8e-11,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.7277132334447196,2.0464450443767754,1.6212756822304326,2.9204214158847592,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V510/n590_T253_V510_map.csv
253.0,530.0,-5.055e-11,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.8665517560613885,2.209617213741712,1.750369012637147,3.153127171686717,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V530/n590_T253_V530_map.csv
253.0,550.0,-3.796e-10,stable,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.9888528831381218,2.3529465042049402,1.863996968118372,3.3590820566929027,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V550/n590_T253_V550_map.csv
253.0,570.0,-0.1089,breakdown,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.509156496726933,1.789185960282878,1.4183301191911626,2.551843302353715,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V570/n590_T253_V570_map.csv
253.0,590.0,-0.1308,breakdown,D4_medium_high,2000000000000000.0,0.6,5e-16,7e-16,1.5103297339765422,1.7905385985314815,1.41942329880294,2.5537918694000834,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V590/n590_T253_V590_map.csv
