vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,300.0,-530.0,1084.997260426293,7.506657735235073e-05,0.5351434463640548,300.0,1084.997260426296,-70413.14513865528,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,62.74667161339822,50.59797857220516,1.184291997869133,541496.5060280886,0.009057700228369861,0.007098829235348107,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,300.0,-530.0,1085.004510417973,6.749841137988656e-05,0.5351433806807996,300.0,1085.004510417975,565778.9813183422,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,63.15056886498247,50.76479463114688,1.181768827192651,542836.097775912,-0.003019233410183396,-0.002366271259702653,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,300.0,-530.0,1085.0045175878,2.925087436815374e-08,0.5351433806662516,300.0,1085.0045175878,127513.2943295521,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,63.15058149400504,50.76479984493125,1.178980086297236,542836.3041956739,-0.005830243826561326,-0.004569351395843006,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,300.0,-530.0,1085.004515438093,6.877834427489836e-09,0.5351433806580146,300.0,1085.004515438093,-353165.2010775295,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,63.15058150088341,50.76479984777153,1.178954641044652,542836.2900307205,-0.01186871064692871,-0.009301893910426127,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,300.0,-530.0,1085.004509061332,8.109764146117849e-09,0.5351433806439958,300.0,1085.004509061332,-324889.9954653078,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,63.1505815037317,50.76479984895206,1.178958470352569,542836.2904392693,-0.01166048765312355,-0.009138702784943805,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,300.0,-530.0,1085.004494248217,2.319609130828211e-08,0.5351433806139434,300.0,1085.004494248217,-42137.93934339794,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,63.1505815088323,50.76479985105742,1.17898513479925,542836.2919551922,-0.0001041114969029007,0.0,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,300.0,-530.0,1085.004448984381,1.739214752990111e-07,0.5351433805259398,300.0,1085.004448984381,268889.3223908559,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,63.15058153464992,50.76479986156553,1.179048331292433,542836.295157899,-0.014367386572605,-0.01126018731595495,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,300.0,-530.0,1085.004145809663,9.056753836856979e-05,0.5351433799532078,300.0,1085.004145809667,466815.761677729,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,63.15059151460395,50.76480385520606,1.179117783100299,542836.3631953223,0.005830243826576664,0.004650946846551967,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,300.0,-530.0,1084.982788386244,0.0,0.5351431200194511,300.0,1084.982788386244,14412.47260657357,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,63.35257490242538,50.84822648198981,1.17941603866511,544175.8243763832,-0.002811010419088013,-0.002203061102654131,0.0,0.0,0.0,0.0,0.0
97,-48.55507548828125,-17.5,300.0,-530.0,124671.9607124025,-0.02123955906024864,-33.79413255264648,300.0,124671.9607124043,-1.711760372442474e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,85.26817043736446,61.65294187879561,10631155.48487118,7664234.901933901,-4762650886748.729,-2734.054637443879,27340230228518.84,0.0,0.0,0.003836062897285776,2.795755878635012e-07
98,-48.6049779296875,-8.75,300.0,-530.0,141735.1980296689,0.1594181076773784,-33.13901136512197,300.0,141735.1980297585,-2.709997378509784e+16,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,83.5066284272532,54.79241860425267,11824597.21052287,7724120.734985523,-6651093974081.906,-2757.560306262003,1.786878918600781e+16,0.0,0.0,0.007616968789901176,0.000182781210521155
99,-48.6049779296875,-17.5,300.0,-530.0,141735.3829638167,-0.0201304316217173,-33.13902533292219,300.0,141735.3829638181,-2.709997620418745e+16,-2.711268144585389e+16,11202922288.6673,2.711269264877618e+16,83.50592793017105,54.79238231720448,11824530.06015458,7724129.878986553,-6651592227614.805,-2757.353510813516,1.787033257244319e+16,0.0,0.0,0.007619532774686796,0.0001827829943641981
100,-48.55507548828125,-26.25,300.0,-530.0,124672.164624159,-0.02165345901857406,-33.79415479426833,300.0,124672.1646241609,-1.711760519285368e+16,-1.713038790799605e+16,10394307610.23349,1.713039830230366e+16,85.26797334360754,61.65285695803919,10631145.03560257,7664236.103626783,-4762947181690.076,-2733.884372440899,27340550220282.67,0.0,0.0,0.003836417080085515,2.795971079179953e-07
101,-48.50517304687499,-26.25,300.0,-530.0,114206.0391329344,-0.02264235381049857,-34.38333563240249,300.0,114206.0391329366,-1.000396144429584e+16,-1.001678382858267e+16,10128791872.45466,1.001679395737455e+16,88.79879969212075,66.88685656429246,10131523.18005841,7629262.371532542,-3466313080149.775,-2713.435921561759,71953701037.99022,0.0,0.0,0.001892869776439747,7.357175657751438e-10
102,-48.50517304687499,-35.0,300.0,-530.0,114206.1820697318,-0.01508665873104729,-34.38335212104903,300.0,114206.1820697328,-1.00039620262931e+16,-1.00167840502552e+16,10128791893.31887,1.001679417904709e+16,88.79869772852973,66.88678175300164,10131524.19703699,7629263.382425233,-3466410383075.613,-2713.359672503811,71957090971.5593,0.0,0.0,0.001892952101110544,7.357789637425053e-10
103,-48.45527060546875,-35.0,300.0,-530.0,108199.6436741815,-0.01574294109229323,-34.93400403029668,300.0,108199.6436741826,-5561180201923481.0,-5574017602190481.0,10052594038.29195,5574027654784520.0,93.83139590590179,70.39532903563753,10150222.79078584,7612920.924846113,-2674187063525.242,-2696.810985501971,840905396.981426,0.0,0.0,0.0001574538626080457,8.589971874566735e-12
104,-48.45527060546875,-43.75000000000001,300.0,-530.0,108199.7309171798,-0.009788651753969084,-34.93401449048379,300.0,108199.7309171802,-5561180350143433.0,-5574017666350158.0,10052594040.7729,5574027718944200.0,93.83132152723245,70.39527628539255,10150223.26672263,7612921.611531905,-2674204559318.947,-2696.793326971879,840950301.8465922,0.0,0.0,0.0001574593880574869,8.590528555288275e-12
105,-48.4053681640625,-43.75000000000001,300.0,-530.0,104898.6964288179,-0.0101988234986865,-35.4632482919939,300.0,104898.6964288184,-2993009758354502.0,-3005850056825392.0,10033788552.02433,3005860090613944.0,96.82054247168574,72.53640418366476,10156358.68658475,7607377.027707436,-2221247981409.925,-2683.563194857551,50612284.63345022,0.0,0.0,3.654298194449761e-05,5.149920432675443e-13
106,-48.4053681640625,-52.5,300.0,-530.0,104898.7530421814,-0.00962028989107903,-35.4632553057065,300.0,104898.7530421819,-2993009680005093.0,-3005850060267604.0,10033788552.04629,3005860094056156.0,96.82048611061441,72.5363643245493,10156359.02712417,7607377.524401917,-2221233853974.938,-2683.580288554649,50614904.00360554,0.0,0.0,3.654391904466193e-05,5.150160839295236e-13
107,-48.35546572265625,-52.5,300.0,-530.0,103137.4741645517,-0.009994628968112096,-35.98096199718017,300.0,103137.4741645522,-1571109276084365.0,-1583947472115742.0,10030041677.98583,1583957502157420.0,98.54200229712558,73.76388824474623,10163962.54787995,7607027.470530622,-1971312579805.529,-2673.061858448398,10669587.09880765,0.0,0.0,1.622895988492975e-05,1.078985516793749e-13
108,-48.35546572265625,-61.25,300.0,-530.0,103137.5487991001,-0.08066780786630476,-35.98097215580949,300.0,103137.5487991317,-1571108606144960.0,-1583947413131150.0,10030041677.62867,1583957443172828.0,98.54204629023997,73.76378624951603,10163970.98417202,7607023.496064119,-1971218901088.933,-2673.189063583577,10670881.15053941,0.9997031784103511,0.9990076397893783,1.622898706747275e-05,1.079077278093129e-13
109,-48.30556328125,-61.25,300.0,-530.0,102220.5271677667,-0.08102125244005387,-36.49262818840814,300.0,102220.5271677988,-805228447960582.0,-818063614482249.2,10029630360.86823,818073644112610.1,99.48952759858959,74.43857895755953,10170500.13396145,7608658.798889978,-1836190042080.71,-2664.847619483274,4797146.302399198,0.9997031784103511,0.9990076397893783,1.061966208907854e-05,4.824744274759482e-14
