vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,253.0,-590.0,1005.308327650857,7.003499683547749e-05,0.5451894817739237,253.0,1005.308327650859,70688.08214339096,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,69.89872184509913,53.50180342852674,7.071341239677593,483794.5200017469,3.425207571171402e-06,3.065666265454015e-06,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,253.0,-590.0,1005.313832518005,6.030642028190866e-05,0.5451894204933014,253.0,1005.313832518007,-480678.4272941301,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,70.44971511930844,53.73135028301172,7.052925858061776,485351.3173419915,1.102365655354994e-06,9.923522374185178e-07,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,253.0,-590.0,1005.313830399225,8.662261589678779e-09,0.5451894204797278,253.0,1005.313830399225,424128.1522957137,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,70.44973236607606,53.73135759540668,7.032491923865045,485351.364177401,1.200791160297481e-06,1.063234539578525e-06,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,253.0,-590.0,1005.313826684487,2.79603806854959e-09,0.545189420472043,253.0,1005.313826684487,14137.67091906572,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,70.44973237709758,53.73135759985869,7.032224246354377,485351.3643107645,-2.283471714664121e-06,-2.073307351611982e-06,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,253.0,-590.0,1005.313819495231,4.939289609513706e-09,0.5451894204589639,253.0,1005.313819495231,-14137.53469311689,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,70.4497323818973,53.73135760148325,7.032130446815282,485351.3643931958,-6.299232316315142e-07,-5.670584206901914e-07,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,253.0,-590.0,1005.313804319921,1.877039100005647e-08,0.545189420430926,253.0,1005.313804319921,197926.5073982528,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,70.44973239018113,53.73135760411552,7.032057962726419,485351.3645260872,2.814969441353646e-06,2.534042314934909e-06,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,253.0,-590.0,1005.313761093206,1.601520485579014e-07,0.5451894203488209,253.0,1005.313761093206,438265.755101805,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,70.44973242783037,53.73135761737638,7.032025970372896,485351.3649288007,-1.141735857332622e-06,-1.027793383478855e-06,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,253.0,-590.0,1005.313475890937,8.449194952505127e-05,0.5451894198144781,253.0,1005.31347589094,862393.8392845447,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,70.44974579686935,53.73136303887077,7.031823984101393,485351.4398546291,2.834654542349055e-06,2.551762834674271e-06,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,253.0,-590.0,1005.292160436617,0.0,0.5451891773037095,253.0,1005.292160436617,268614.5214288679,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,70.72529135401518,53.84615623799651,7.033572075812197,486908.4178320584,1.141735858432859e-06,1.027784508117401e-06,0.0,0.0,0.0,0.0,0.0
97,-48.55507548828125,-17.5,253.0,-590.0,117214.7462358055,-0.03932923400871951,-32.9084435367474,253.0,117214.7462358121,-1.706147461946126e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,99.5270079881599,72.63432782324709,11632923.32429143,8486104.32248585,170710400899.6552,3374.991433277286,29932966453110.33,0.0,0.0,0.02059808992832051,5.094350329904398e-08
98,-48.6049779296875,-8.75,253.0,-590.0,134234.4849195269,0.03709570937697583,-32.29061408389186,253.0,134234.484919532,-2.704415305735271e+16,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,90.38110004084336,64.04535458108191,12099289.6433001,8545188.49060875,220926435784.2651,3157.324867867336,4.048425618763159e+16,0.0,0.0,0.1910769392710036,6.937022249448003e-05
99,-48.6049779296875,-17.5,253.0,-590.0,134234.9664320603,-0.03733001809409548,-32.29065772724582,253.0,134234.9664320655,-2.704415344903282e+16,-2.711268144585389e+16,11202922288.6673,2.711269264877618e+16,90.38059117064337,64.04509594063825,12099303.44748558,8545197.665826391,220869682588.3833,3156.612660724408,4.04968821986791e+16,0.0,0.0,0.1911001325427414,6.93843918156777e-05
100,-48.55507548828125,-26.25,253.0,-590.0,117214.9657075128,-0.0152227842511584,-32.90846683895807,253.0,117214.9657075138,-1.70614751118122e+16,-1.713038790799605e+16,10394307610.23349,1.713039830230366e+16,99.52682849319248,72.63419897220163,11632924.79629724,8486105.68942832,170696954683.4063,3374.743138876074,29936824976341.54,0.0,0.0,0.02059945687492164,5.094982047866043e-08
101,-48.50517304687499,-26.25,253.0,-590.0,106792.2248638405,-0.01596198674883051,-33.46054252488527,253.0,106792.2248638417,-9947666231884298.0,-1.001678382858267e+16,10128791872.45466,1.001679395737455e+16,109.0045135121406,79.24002890375472,11628731.25036617,8450147.128280642,125987043526.9609,3396.095184849015,39528516249.11076,0.0,0.0,0.0005090328824424964,5.946355696044767e-11
102,-48.50517304687499,-35.0,253.0,-590.0,106792.2646881171,0.001146231294757831,-33.46054641983812,253.0,106792.2646881171,-9947665776000704.0,-1.00167840502552e+16,10128791893.31887,1.001679417904709e+16,109.0044629204014,79.23999304517109,11628731.59117954,8450147.476429887,125984530367.5568,3396.093983066858,39530539120.60639,0.0,0.0,0.0005090464536771715,5.946659573074065e-11
103,-48.45527060546875,-35.0,253.0,-590.0,100829.202369668,0.001157066241895428,-33.97430948213557,253.0,100829.202369668,-5504814059017456.0,-5574017602190481.0,10052594038.29195,5574027654784520.0,115.3708117140285,83.67845372290162,11629661.50793744,8432447.116071718,98062962030.73898,3405.899714742675,518606667.5315353,0.0,0.0,3.342061434225673e-05,3.467376604981297e-13
104,-48.45527060546875,-43.75000000000001,253.0,-590.0,100829.1587717937,0.008416783576494136,-33.97430352914927,253.0,100829.1587717941,-5504813309561248.0,-5574017666350158.0,10052594040.7729,5574027718944200.0,115.3708479534201,83.67847918045022,11629661.24779041,8432446.839712868,98063672628.02432,3406.004464792155,518602329.9841307,0.0,0.0,3.34202436452254e-05,3.467314257763182e-13
105,-48.4053681640625,-43.75000000000001,253.0,-590.0,97571.6350764832,0.008722183173817828,-34.46686492327442,253.0,97571.6350764836,-2936624372949144.0,-3005850056825392.0,10033788552.02433,3005860090613944.0,119.2733692340425,86.37588386226878,11637663.85188532,8425861.174567327,81847145119.28638,3406.199093554319,65347320.23791488,0.0,0.0,6.11377480877902e-06,1.287442317048294e-14
106,-48.4053681640625,-52.5,253.0,-590.0,97571.57161237176,0.004408977673972391,-34.4668558679799,253.0,97571.57161237186,-2936623112646588.0,-3005850060267604.0,10033788552.04629,3005860094056156.0,119.2734185213472,86.37591839012664,11637663.49907574,8425860.790766042,81848416547.88126,3406.376367489098,65346071.47683445,0.0,0.0,6.113622265324674e-06,1.287380355930736e-14
107,-48.35546572265625,-52.5,253.0,-590.0,95853.80960579962,0.00448009604383366,-34.94810671982821,253.0,95853.80960579972,-1514727554718319.0,-1583947472115742.0,10030041677.98583,1583957502157420.0,121.5005694127201,87.90318158723963,11647025.07041073,8424885.728216117,72839492976.2068,3402.852558596372,23954695.857633,0.0,0.0,2.404996186383789e-06,2.070634564532759e-15
108,-48.35546572265625,-61.25,253.0,-590.0,95853.84825562658,-0.1736904415119343,-34.94810804445763,253.0,95853.84825578395,-1514722441500905.0,-1583947413131150.0,10030041677.62867,1583957443172828.0,121.5004374646328,87.90294327121411,11647035.68854279,8424883.227840481,72832877049.96292,3403.040388070511,23955095.84690409,0.9996888893550604,0.9989104088079749,2.405080702991043e-06,2.070865831901995e-15
109,-48.30556328125,-61.25,253.0,-590.0,94980.33898389734,-0.1772609757984192,-35.4235252140823,253.0,94980.33898406275,-748855085348241.8,-818063614482249.2,10029630360.86823,818073644112610.1,122.7051559869191,88.72160225564362,11655388.37369829,8426227.493859697,67963114536.97713,3398.705812491989,14623267.01724801,0.9996888893550604,0.9989104088079749,1.495312372066476e-06,8.265941313611218e-16
110,-48.30556328125,-70.0,253.0,-590.0,94981.55525406072,-1.006568321783055,-35.4238315645532,253.0,94981.55525939428,-748872506178945.1,-818067870374069.4,10029630355.27816,818077900004424.6,122.5560459967228,88.62181274424155,11653932.54283747,8425379.823331004,67992688680.49863,3398.890011479391,14625902.2924879,0.9996888893550604,0.9989104088079749,1.495627725288084e-06,8.273169800684114e-16
111,-48.25566083984375,-70.0,253.0,-590.0,94559.12762878042,-0.6586522153857556,-35.89637058724492,253.0,94559.12763107434,-345797478997680.4,-414971605238904.9,10029768004.19973,414981635006909.1,123.2485303371609,89.08742791458171,11661049.32132592,8427676.756286731,65409458883.17919,3394.22325631576,11573226.4468138,0.9996888893550604,0.9989104088079749,1.190731715715422e-06,5.369200819919765e-16
112,-48.25566083984375,-61.25,253.0,-590.0,94557.9215241028,-0.1808144769847953,-35.89605820455966,253.0,94557.92152427568,-345778152548226.5,-414969514011610.3,10029768006.49012,414979543779616.8,123.3243430674116,89.13722368171706,11661994.7419195,8428212.083147792,65387872434.69649,3394.794762479834,11570014.57585887,0.9996888893550604,0.9989104088079749,1.190409793826437e-06,5.364708096150721e-16
113,-48.30556328125,-52.5,253.0,-590.0,94980.29829509517,0.004542858258979253,-35.42352369145707,253.0,94980.29829509529,-748860170136065.2,-818063647827437.9,10029630360.89746,818073677457798.6,122.7053294788022,88.7218251703738,11655380.47937085,8426228.681080485,67969289512.39625,3398.518455430898,14622857.71023229,0.0,0.0,1.495233499475624e-06,8.264711739259973e-16
114,-48.35546572265625,-43.75000000000001,253.0,-590.0,95853.87218396693,0.009023513330883547,-34.94811608961378,253.0,95853.87218396735,-1514728816196060.0,-1583947470048010.0,10030041677.98338,1583957500089689.0,121.5005193196878,87.90314657294326,11647025.41841181,8424886.112283269,72838361565.83638,3402.675478191877,23955194.15864309,0.0,0.0,2.405056546807915e-06,2.070734422253831e-15
115,-48.4053681640625,-35.0,253.0,-590.0,97571.67813513722,0.001165493356740716,-34.46687109250171,253.0,97571.67813513722,-2936625146154741.0,-3005850016158307.0,10033788551.39106,3005860049946858.0,119.2733315128153,86.37585744282687,11637664.11207864,8425861.456408722,81846552110.32083,3406.094336818693,65348037.00974371,0.0,0.0,6.113858509311632e-06,1.28747067207126e-14
116,-48.45527060546875,-26.25,253.0,-590.0,100829.1622429,-0.01670089104151311,-33.97430538775188,253.0,100829.1622429013,-5504814574653304.0,-5574017439651808.0,10052594031.92178,5574027492245840.0,115.3708699316802,83.67849473731977,11629661.14141618,8432446.72995436,98064918503.508,3405.900949554168,518592691.1797062,0.0,0.0,3.341958026445012e-05,3.467161465810285e-13
117,-48.50517304687499,-17.5,253.0,-590.0,106792.0057945165,-0.04132634278309268,-33.46051812845909,253.0,106792.0057945245,-9947665738013526.0,-1.001678315558379e+16,10128791809.00535,1.00167932843756e+16,109.0047320286268,79.24018348177201,11628729.71574152,8450145.544442963,125996969271.1544,3396.3452527767,39522453970.93067,0.0,0.0,0.0005089858997575368,5.94533042248914e-11
118,-48.55507548828125,-8.75,253.0,-590.0,117214.2648691343,0.02870078817791718,-32.90839748857405,253.0,117214.2648691378,-1.70614718370502e+16,-1.713038337606451e+16,10394306423.87494,1.713039377037093e+16,99.5276327486383,72.63476198083167,11632922.42553035,8486101.471797617,170754584242.9492,3375.759894233196,29914981984523.73,0.0,0.0,0.02059299240495155,5.092070362742376e-08
119,-48.6049779296875,0.0,253.0,-590.0,134231.8079190052,-5.370286772494893e-12,-32.29071883721207,253.0,134231.8079190052,-2.704431382809012e+16,-2.711280160773034e+16,11202767707.7472,2.711281281049804e+16,91.60728722954161,65.63626608611679,12106383.68177517,8549088.983480511,220674115328.0545,3150.106893180914,4.049317268212534e+16,0.0,0.0,0.1909350362766394,6.93483034811843e-05
120,-48.65488037109375,0.0,253.0,-590.0,159501.1575026821,-4.724088549712389e-12,-31.56878846203335,253.0,159501.1575026821,-3.843808198388248e+16,-3.850601099654798e+16,13371092525.16258,3.85060243676405e+16,83.07200084726911,56.14207047743457,12872251.62116783,8626239.847211314,3133609195996.363,33669.12119907619,2.009773810367361e+19,0.0,0.0,4.154038270259671,0.03443156672214734
121,-48.65488037109375,-8.75,253.0,-590.0,159503.7489719961,0.04500834636109471,-31.56867178477126,253.0,159503.7489720024,-3.843776759264334e+16,-3.850572212802928e+16,13371368746.55148,3.850573549939802e+16,81.16471597631761,54.52790899991124,12866248.68804103,8623454.062744629,3134850089681.691,33707.96946452435,2.009026817545814e+19,0.0,0.0,4.155747268128481,0.03443437688609186
122,-48.65488037109375,-17.5,253.0,-590.0,159504.2277058889,-0.03533704154084424,-31.56871302732128,253.0,159504.2277058928,-3.843776294237949e+16,-3.850571854763804e+16,13371374048.71971,3.850573191901209e+16,81.16446878781606,54.52776177041281,12866264.8432358,8623465.003632244,3135099222419.375,33711.71224471703,2.009243683810553e+19,0.0,0.0,4.156595469555911,0.03443726269485235
123,-48.6049779296875,-26.25,253.0,-590.0,134235.1861326133,-0.01448363672552322,-32.29067993324256,253.0,134235.1861326141,-2.704415350013782e+16,-2.711268167789038e+16,11202922722.19533,2.711269288081311e+16,90.380695468143,64.04499670892902,12099337.13146672,8545198.755368905,220852257161.2739,3156.380267966174,4.050029659690961e+16,0.0,0.0,0.1910859028508897,6.938981958187061e-05
124,-48.55507548828125,-35.0,253.0,-590.0,117215.0052495784,0.001133106580810157,-32.90847053588226,253.0,117215.0052495784,-1.706147465676356e+16,-1.713038812880623e+16,10394307668.8102,1.713039852311389e+16,99.52678768891552,72.63416982605067,11632925.08441021,8486105.983049184,170693550271.0066,3374.741997008276,29938154444955.01,0.0,0.0,0.02059986062372395,5.095169036285281e-08
125,-48.50517304687499,-43.75000000000001,253.0,-590.0,106792.2205675469,0.008107354425936932,-33.46054068574303,253.0,106792.2205675473,-9947665050920848.0,-1.001678413769706e+16,10128791901.44247,1.001679426648897e+16,109.004496292408,79.2400165932034,11628731.33933568,8450147.215080654,125985443159.6039,3396.19841806438,39530398103.5785,0.0,0.0,0.0005090421872226833,5.946574544193372e-11
126,-48.45527060546875,-52.5,253.0,-590.0,100829.0944191612,0.00432931248107848,-33.97429479277439,253.0,100829.0944191613,-5504812051553045.0,-5574017671697054.0,10052594040.86221,5574027724291096.0,115.370894934011,83.67851221166791,11629660.89628751,8432446.46523599,98065195975.99838,3406.181728604969,518592607.6683452,0.0,0.0,3.341946272586194e-05,3.46716051422473e-13
127,-48.4053681640625,-61.25,253.0,-590.0,97571.60816023368,-0.1701067950032705,-34.46685700493083,253.0,97571.60816038196,-2936617955636879.0,-3005849959582016.0,10033788550.23842,3005859993370566.0,119.2733353158771,86.37566168780985,11637677.21086814,8425856.532850342,81840984002.495,3406.564624492451,65346395.85995029,0.9996888893550604,0.9989104088079749,6.113731127283134e-06,1.287457800772858e-14
128,-48.35546572265625,-70.0,253.0,-590.0,95855.07519263444,-1.673809327726236,-34.94840832546226,253.0,95855.07520724837,-1514738044055974.0,-1583956002083411.0,10030041661.92787,1583966032125073.0,121.2208978332115,87.7134187466228,11644844.55436439,8423573.207087163,72875468908.72601,3404.338012894279,23956252.56763179,0.9996888893550604,0.9989104088079749,2.405404353449365e-06,2.072738531074014e-15
129,-48.4053681640625,-70.0,253.0,-590.0,97572.84824925485,-2.918518620369245,-34.46715118563441,253.0,97572.84829290301,-2936632976484872.0,-3005866964957742.0,10033788501.24135,3005876998746242.0,118.7718500437511,86.03220152080625,11634470.8692116,8423891.89821289,81905412870.65002,3409.437413943069,65340924.76975765,0.9996888893550604,0.9989104088079749,6.114118072939097e-06,1.288627016302226e-14
130,-48.45527060546875,-61.25,253.0,-590.0,100829.128789674,-0.1665122805205215,-33.97429575270878,253.0,100829.1287898115,-5504806834761715.0,-5574017511243466.0,10052594033.7843,5574027563837499.0,115.3708502669393,83.67823890484922,11629676.78617172,8432440.170297451,98056292818.18144,3406.37020813314,518599626.6827218,0.9996888893550604,0.9989104088079749,3.341970666203318e-05,3.467233834442749e-13
131,-48.50517304687499,-52.5,253.0,-590.0,106792.1553247368,0.00424087690683887,-33.46053227272701,253.0,106792.1553247369,-9947663796399472.0,-1.001678414484834e+16,10128791901.72619,1.001679427364024e+16,109.0045389265034,79.24004672535074,11628731.0017151,8450146.864355085,125987400021.9831,3396.375152917815,39529670132.24597,0.0,0.0,0.0005090321827406348,5.946357030408766e-11
132,-48.55507548828125,-43.75000000000001,253.0,-590.0,117214.9606145147,0.007793919548759887,-32.90846502324489,253.0,117214.9606145149,-1.70614739338604e+16,-1.713038821579793e+16,10394307691.60467,1.713039861010562e+16,99.52681643160584,72.63419034284603,11632924.83507362,8486105.749680763,170694786914.1578,3374.84575631055,29938179624887.23,0.0,0.0,0.02059974187873863,5.095116154243801e-08
133,-48.6049779296875,-35.0,253.0,-590.0,134235.2253346568,0.00111757732516886,-32.29068343355254,253.0,134235.2253346568,-2.704415290252178e+16,-2.711268175277199e+16,11202922864.46132,2.711269295569485e+16,90.38074744524111,64.04497488665541,12099348.31298129,8545198.983376186,220847836070.7088,3156.379023187789,4.050155911042174e+16,0.0,0.0,0.191080575010061,6.939142191139818e-05
134,-48.65488037109375,-26.25,253.0,-590.0,159504.4471136431,-0.01374612628392697,-31.56873413681842,253.0,159504.4471136437,-3.843776208986278e+16,-3.850571787688002e+16,13371374973.99518,3.8505731248255e+16,81.16443375939673,54.52769055300373,12866277.63184359,8623465.805549731,3135225321918.18,33713.24899602911,2.009346210945381e+19,0.0,0.0,4.156791685219061,0.03443881041941652
135,-48.7047828125,-17.5,253.0,-590.0,192796.4978886849,-0.03336307343111111,-30.69872765180072,253.0,192796.4978886878,-4.783470959240507e+16,-4.790199417521126e+16,18549830711.03102,4.790201272504198e+16,67.58668531041167,45.57170025023399,12886002.30272068,8707691.581358096,309547030817654.6,2733709.210226917,1.721539180731174e+21,0.0,0.0,173.9268794546534,2.949208630723386
136,-48.7047828125,-8.75,253.0,-590.0,192796.0258487803,0.05207645192626015,-30.69868878635312,253.0,192796.0258487873,-4.78347192156464e+16,-4.790200273497767e+16,18549820364.55645,4.790202128479804e+16,67.58706869432002,45.57178993806254,12886034.30853116,8707682.681109477,309552859265945.6,2733673.86831877,1.721576058104427e+21,0.0,0.0,173.9123362340101,2.949094316871413
137,-48.75468525390625,-8.75,253.0,-590.0,231163.2204457906,0.05797535969360794,-29.64447330803137,253.0,231163.2204457979,-5.158873901440481e+16,-5.165537083900082e+16,29808807425.13053,5.165540064780824e+16,54.42754252315252,38.27229515236415,12477376.10036828,8784164.57322629,6206881713033294.0,50517805.23976956,3.043499984992653e+22,0.0,0.0,1453.507274414271,51.84737045367332
138,-48.75468525390625,0.0,253.0,-590.0,231161.2356410226,-3.36375240054119e-12,-29.64460957883312,253.0,231161.2356410226,-5.158932432534157e+16,-5.165597609776274e+16,29808195300.54702,5.165600590595804e+16,56.17149397415439,39.32236159468718,12477628.2241933,8784230.599657247,6209709450969291.0,50570593.75692289,3.044390036957446e+22,0.0,0.0,1453.421143196574,51.84682546782584
139,-48.8045876953125,0.0,253.0,-590.0,269746.9148357887,-5.363772006396317e-12,-28.39170987230971,253.0,269746.9148357887,-4.84002461008055e+16,-4.846629470057216e+16,52881814075.24948,4.846634758238622e+16,46.9681098315043,33.66719614684015,12304140.11350829,8845114.191530265,4.054892059992992e+16,343400497.3402554,1.878341428981878e+23,0.0,0.0,5217.52459097213,314.7948612664513
140,-48.8045876953125,-8.75,253.0,-590.0,269748.4360334567,0.06259514007914511,-28.39156697358206,253.0,269748.436033464,-4.839969140616834e+16,-4.846570372917557e+16,52882828979.56611,4.846575661200454e+16,45.85674221164838,32.94131588341403,12305707.81587941,8845901.980491348,4.052382228609473e+16,342814437.6596975,1.877889739964081e+23,0.0,0.0,5217.646292245948,314.7976942834231
