vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,300.0,-470.0,1084.978359836548,7.506657735235073e-05,0.5351434463640548,300.0,1084.97835983655,-70413.14513865528,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,62.74667562216661,50.59798055393468,1.836753087738163e-06,74332.60728001676,0.009057700228369861,0.007098829235348107,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,300.0,-470.0,1084.985784203539,6.786784476668794e-05,0.5351433806807996,300.0,1084.985784203541,565778.9813183422,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,63.15057290357545,50.76479661509928,1.832671360798244e-06,76164.39323610498,-0.003019233410183396,-0.002366271259702653,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,300.0,-470.0,1084.985792635197,3.191973859611227e-08,0.5351433806662516,300.0,1084.985792635197,127513.2943295521,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,63.15058552009059,50.7648018227015,1.828162540329546e-06,76714.22397628675,-0.005830243826561326,-0.004569351395843006,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,300.0,-470.0,1084.985790606263,7.133676014544148e-09,0.5351433806580146,300.0,1084.985790606263,-353165.2010775295,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,63.15058552686247,50.76480182548924,1.82822175565192e-06,76714.99382434988,-0.01186871064692871,-0.009301893910426127,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,300.0,-470.0,1084.985784108552,7.853513905056046e-09,0.5351433806439958,300.0,1084.985784108552,-324889.9954653078,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,63.15058552971968,50.76480182667407,1.828353649770377e-06,76714.99156031654,-0.01166048765312355,-0.009138702784943805,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,300.0,-470.0,1084.985768771734,2.208657189594638e-08,0.5351433806139434,300.0,1084.985768771734,-42137.93934339794,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,63.15058553490441,50.76480182882067,1.828074423864184e-06,76714.9817019911,-0.0001041114969029007,0.0,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,300.0,-470.0,1084.985722345223,1.714582326082494e-07,0.5351433805259398,300.0,1084.985722345223,268889.3223908559,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,63.15058556092683,50.76480183942924,1.828412863819988e-06,76714.9600576926,-0.014367386572605,-0.01126018731595495,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,300.0,-470.0,1084.985418093101,9.056525579811797e-05,0.5351433799532078,300.0,1084.985418093105,466815.761677729,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,63.15059554111976,50.76480583318681,1.828382977538951e-06,76715.1172433861,0.005830243826576664,0.004650946846551967,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,300.0,-470.0,1084.964229398349,0.0,0.5351431200194511,300.0,1084.964229398349,14412.47260657357,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,63.35257893762891,50.84822845817011,1.828548674681852e-06,77973.5190096695,-0.002811010419088013,-0.002203061102654131,0.0,0.0,0.0,0.0,0.0
97,-48.55507548828125,-17.5,300.0,-470.0,116865.2574735196,0.01031501348577071,-32.95026130622001,300.0,116865.2574735201,-1.713038721694984e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,86.82162079311293,65.35045929798952,10117717.05743627,7612423.504204419,-3125657815806078.0,-0.004275253071817938,37277811192.35159,0.0,0.0,0.006954792836240392,1.034016123254003e-08
98,-48.6049779296875,-8.75,300.0,-470.0,133938.6073272822,0.1926709562107951,-32.33410189262678,300.0,133938.6073274207,-2.711267996098288e+16,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,76.21941920927341,57.70268663350226,10151685.17268972,7682314.755932329,-4307997617438696.0,-0.004308779949228037,2573418715514.996,0.0,0.0,0.4778004512723684,2.237341528943104e-05
