tcad_x_um,tcad_lateral_um,electric_field_V_per_cm,electron_velocity_cm_per_s,hole_velocity_cm_per_s,electron_drift_to_cathode_ps,hole_drift_to_anode_ps,electron_multiplication_to_cathode,hole_multiplication_to_anode
-49.99999999999999,-70.0,1085.048397836882,1288430.9109879385,490313.476030939,0.0,3836.388383634633,1.0,1.3980126022651844
-49.95234384765625,-70.0,2394.340430744001,2482440.057605986,1010527.9676544602,2.809252303620625,3829.170637115721,1.0,1.3980126022651844
-49.90244140625,-70.0,3232.400502912355,3099630.1821547537,1308917.3895909358,4.619335109466399,3824.795261238016,1.0,1.3980126022651844
-49.85253896484375,-70.0,2551.375366481077,2605605.7432587035,1068344.8381121221,6.381906928248067,3820.553510011429,1.0,1.3980126022651844
-49.8026365234375,-70.0,2294.543004101704,2402199.9687074884,973306.4609852638,8.378186713839005,3815.654455128191,1.0,1.3980126022651844
-49.75273408203125,-70.0,2500.276775197734,2565935.294134701,1049631.4029575388,10.389271366481209,3810.713761556371,1.0,1.3980126022651844
-49.70283164062499,-70.0,3103.115625770737,3010536.9573695203,1264474.1647915673,12.190470294329437,3806.3633715855344,1.0,1.3980126022651844
-49.65292919921875,-70.0,20935.49482383477,7761565.05105139,4566495.0697738,13.3407381680992,3803.843725204293,1.0,1.3980126022651844
-49.6030267578125,-70.0,164328.4103158414,10207661.698058061,7567033.840138725,13.906645885727183,3802.9675917622008,1.0075842114419844,1.397515775991787
-49.55312431640625,-70.0,327751.2841434228,10447354.28899124,7947182.452894072,14.389910217332977,3802.3238928432957,1.0586227801797097,1.3908392923678687
-49.503221875,-70.0,375608.9630306563,10478879.549555117,7998665.084848719,14.866847969691365,3801.697987428524,1.1926705284754224,1.3702466654667913
-49.45331943359375,-70.0,388771.5004771815,10486216.391227026,8010697.584670583,15.342900620809065,3801.0745713609917,1.4080049621509436,1.337678337548535
-49.40341699218749,-70.0,392163.2899053334,10488028.759457551,8013672.867345465,15.818745557495431,3800.4517394902978,1.6861228133126065,1.3005851226731293
-49.35351455078125,-70.0,392794.4332015836,10488362.618779693,8014221.077913307,16.294541804038083,3799.829044560633,2.0263648143993374,1.2629693971499423
-49.303612109375,-70.0,392512.2159105006,10488213.462837288,8013976.152841477,16.77033386099352,3799.206361414182,2.4356920977138716,1.2261486266919244
-49.25370966796875,-70.0,391727.9474000959,10487797.859428665,8013293.74357634,17.246138728364755,3798.583642238437,2.924290560987542,1.1905987194591412
-49.2038072265625,-70.0,390411.4783765519,10487096.550584015,8012142.354797692,17.721968932670503,3797.9608518025634,3.503287150513941,1.1565981360666868
-49.15390478515625,-70.0,388316.7485158014,10485971.040280066,8010294.893931798,18.19784058409933,3797.337944796656,4.182499722656028,1.1244409532273572
-49.10400234375,-70.0,384982.9136695781,10484155.002736216,8007314.932239399,18.67377898979267,3796.71485004438,4.966694142378658,1.0945380324922644
-49.05409990234375,-70.0,379656.3058862151,10481188.6086447,8002449.882530222,19.149825968370937,3796.0914499308647,5.8489464916412555,1.067490689941341
-49.0041974609375,-70.0,371197.3819762186,10476306.532360977,7994449.88402011,19.626051240318077,3795.46754836725,6.800232554308646,1.0441288138915186
-48.95429501953124,-70.0,358070.3369423226,10468283.406112438,7981321.360990881,20.10256998692953,3794.842821406142,7.757420456170598,1.02543371366865
-48.904392578125,-70.0,338587.3308579894,10455254.941197552,7960051.416783855,20.57956828354645,3794.2167457106425,8.620059021576004,1.012212819468876
-48.85449013671874,-70.0,311580.6280529686,10434567.550019616,7926401.722106622,21.05733673148098,3793.588503964563,9.276036451036875,1.0045035471741333
-48.8045876953125,-70.0,277426.214384545,10402797.367087785,7875019.20758667,21.53630859389967,3792.956877615247,9.663983078649371,1.0011330845772755
