event_id,primary_charge_fC,preirradiation_full_collection_charge_fC,effective_electron_multiplication,primary_electron_induced_charge_fC,primary_hole_induced_charge_fC,primary_charge_weighted_electron_drift_ps,primary_charge_weighted_hole_drift_ps,gain_charge_weighted_electron_drift_ps,max_electron_drift_ps,max_hole_drift_ps
0,0.5408093225112055,5.308164693451764,9.815224095627123,0.2819234226930981,0.2588858998181074,320.88089252285835,3314.404956975336,322.562861336586,1233.3003280060782,3800.968386880799
1,0.6336945652201977,6.238926517497247,9.845321168770525,0.3837455469755919,0.24994901824460591,322.05431266477206,3372.724126045468,322.79766761239125,1233.3003280060782,3800.9683863480022
2,0.636865769820806,6.281287590755996,9.862812367075959,0.3563119379741135,0.2805538318466925,326.54376444586745,3326.3947148084735,326.74534274129905,1233.3003280060782,3800.9683876376407
3,0.470846040855736,4.511382830995247,9.58143945056024,0.2194800140895382,0.2513660267661977,249.17019436537836,3475.757687762063,256.20247481642826,674.7618006794871,3800.968388818072
4,0.6769091471780383,6.592647921162767,9.73933939088696,0.3914050793899547,0.2855040677880836,316.32221022291367,3368.850732868129,320.3427258751972,1233.3003280060782,3800.9683857819837
5,0.7796330319444359,7.614954060015907,9.767356882024236,0.36078452718504345,0.4188485047593926,247.4537615640347,3478.115332672094,249.87431966968697,1233.3003280060782,3800.968386040847
6,0.5127977251058679,4.966110604451676,9.684346012702017,0.2656890683373688,0.2471086567684992,286.61774500955346,3408.4430210880505,291.8032461966002,1233.3003280060782,3800.968385441501
7,0.3910869312878471,3.730305238085513,9.53830194683734,0.2093597294695633,0.18172720181828383,300.9754473433761,3380.647094351731,310.89779309540575,1233.3003280060782,3800.9683853619144
8,0.5975727333675506,5.819901194903706,9.739234857832853,0.3426181272247239,0.2549546061428265,340.7335934108075,3296.629553656305,345.0808631968773,1233.3003280060782,3800.9683868896777
9,0.6138394025540662,6.022688278536327,9.811504855304324,0.2474372579442382,0.3664021446098279,220.23187046085002,3511.049289402688,221.43716931054965,1233.3003280060782,3800.9683862697034
10,0.882995242358031,8.620344431234484,9.76261707618484,0.3676700860695569,0.5153251562884742,228.42641284100498,3497.7214550573426,230.75374434854947,1233.3003280060782,3800.9683881154288
11,0.7084719498129332,6.8976802107492965,9.735996199384575,0.3814972007641341,0.3269747490487992,291.196756944267,3410.453765172354,294.9726267303648,1233.3003280060782,3800.968385491074
12,0.7092883698726208,6.918657035374674,9.754364133472508,0.3175125846179458,0.39177578525467477,242.86114417680682,3479.981545218222,245.5416440110997,1233.3003280060782,3800.968387596653
13,0.5172387211092894,5.104634459705755,9.869010674139334,0.27083451774271816,0.24640420336657143,314.9518246518912,3332.774673977242,314.9573853830937,1233.3003280060782,3788.2404128535636
14,0.485621968518652,4.792593284611395,9.86897956702986,0.2392179489206098,0.2464040195980424,273.20352502549736,3427.5130844190708,273.2068781718707,1233.3003280060782,3788.2404137232243
15,0.8183578880110921,7.994134340186607,9.768506490009239,0.41906141906768174,0.3992964689434105,286.67503342019444,3403.864808660484,289.47424481014656,1233.3003280060782,3800.968385555952
16,0.7755097768810492,7.552252221381582,9.738435860544898,0.39714538522438003,0.3783643916566691,274.485787763686,3438.1710632520994,277.9696219508396,1233.3003280060782,3800.968386728672
17,0.3696306862756916,3.647870109371469,9.868959057827466,0.17144108834831043,0.19818959792738114,263.6402829207179,3433.3623736268346,263.6438278847699,1233.3003280060782,3788.2404165073453
18,0.7206108114757703,7.098521866415136,9.850701312512594,0.29376951131455137,0.426841300161219,224.47478947470267,3502.457496622796,224.86698698161132,1233.3003280060782,3800.9683883306684
19,0.6217934954673272,6.066431936273343,9.756345121805975,0.30158909869981937,0.3202043967675078,271.4214071628526,3426.9898199264744,274.38616854028436,1233.3003280060782,3800.968389051471
20,0.44978803597461503,4.38595156925795,9.751152139372339,0.2183208819604923,0.23146715401412277,284.8826888363638,3389.3896806735565,288.1488603115827,1233.3003280060782,3800.968386640797
21,0.5708801971664653,5.592452589861309,9.79619299744353,0.3078865035008211,0.2629936936656444,285.8631957907698,3426.068655366558,287.87889824988645,1233.3003280060782,3800.9683878323876
