vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,253.0,-490.0,1005.207021400786,7.003499683547749e-05,0.5451894817739237,253.0,1005.207021400788,70688.08214339096,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,69.8987636400774,53.50181611607547,1.950751756778401e-10,64676.43138834382,3.425207571171402e-06,3.065666265454015e-06,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,253.0,-490.0,1005.213668541994,6.27264542341033e-05,0.5451894204933014,253.0,1005.213668541996,-480678.4272941301,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,70.44975725600663,53.73136299331097,3.4367204521828e-10,66696.40698176138,1.102365655354994e-06,9.923522374185178e-07,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,253.0,-490.0,1005.213676255923,2.946470307303155e-08,0.5451894204797278,253.0,1005.213676255923,424128.1522957137,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,70.44977434294145,53.73137025719629,5.399022974991938e-10,67297.9910695343,1.200791160297481e-06,1.063234539578525e-06,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,253.0,-490.0,1005.213674366953,6.663880074386643e-09,0.545189420472043,253.0,1005.213674366953,14137.67091906572,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,70.44977435209859,53.73137026108381,8.34413554815769e-10,67298.07793074324,-2.283471714664121e-06,-2.073307351611982e-06,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,253.0,-490.0,1005.213668351625,7.426336891670054e-09,0.5451894204589639,253.0,1005.213668351625,-14137.53469311689,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,70.4497743563167,53.73137026253273,8.173886601270126e-10,67298.10220184024,-6.299232316315142e-07,-5.670584206901914e-07,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,253.0,-490.0,1005.213654161829,2.085828280492146e-08,0.545189420430926,253.0,1005.213654161829,197926.5073982528,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,70.44977436416157,53.73137026503252,8.340316021074391e-10,67298.1207840799,2.814969441353646e-06,2.534042314934909e-06,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,253.0,-490.0,1005.213611215633,1.607463317655532e-07,0.5451894203488209,253.0,1005.213611215633,438265.755101805,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,70.44977440159634,53.73137027822843,7.519829349031605e-10,67298.12954840183,-1.141735857332622e-06,-1.027793383478855e-06,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,253.0,-490.0,1005.213329786698,8.449994374594316e-05,0.5451894198144781,253.0,1005.213329786702,862393.8392845447,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,70.44978776954984,53.73137569939389,3.754149532538383e-10,67298.34576855242,2.834654542349055e-06,2.551762834674271e-06,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,253.0,-490.0,1005.193121244342,0.0,0.5451891773037095,253.0,1005.193121244342,268614.5214288679,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,70.72533341491237,53.84616888611988,5.959657975949171e-10,68687.21083585384,1.141735858432859e-06,1.027784508117401e-06,0.0,0.0,0.0,0.0,0.0
97,-48.55507548828125,-17.5,253.0,-490.0,121004.8537328678,0.01100933325251684,-33.37390044135316,253.0,121004.8537328683,-1.713038723569288e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,96.66709290141775,70.55938223019055,11666366.08410249,8511641.710338354,-26052483186368.57,-1.416003897276144e-10,2073250447.67981,0.0,0.0,0.04657873432870907,2.437506634246904e-07
