vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,253.0,-470.0,1005.207021403618,7.003499683547749e-05,0.5451894817739237,253.0,1005.207021403621,70688.08214339096,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,69.89876364007623,53.50181611607513,1.978614460487825e-07,246207.371210337,3.425207571171402e-06,3.065666265454015e-06,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,253.0,-470.0,1005.213668544788,6.272645415245178e-05,0.5451894204933014,253.0,1005.21366854479,-480678.4272941301,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,70.44975725600547,53.73136299331064,1.971639334818822e-07,249594.901279358,1.102365655354994e-06,9.923522374185178e-07,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,253.0,-470.0,1005.213676258717,2.946470307303155e-08,0.5451894204797278,253.0,1005.213676258717,424128.1522957137,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,70.4497743429403,53.73137025719593,1.967430067081914e-07,250201.3144177298,1.200791160297481e-06,1.063234539578525e-06,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,253.0,-470.0,1005.213674369748,6.663880470753283e-09,0.545189420472043,253.0,1005.213674369748,14137.67091906572,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,70.4497743520974,53.73137026108346,1.970537835504088e-07,250124.1725336228,-2.283471714664121e-06,-2.073307351611982e-06,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,253.0,-470.0,1005.213668354419,7.426336891670054e-09,0.5451894204589639,253.0,1005.213668354419,-14137.53469311689,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,70.44977435631552,53.73137026253238,1.970859101840939e-07,250137.4435018646,-6.299232316315142e-07,-5.670584206901914e-07,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,253.0,-470.0,1005.213654164624,2.08582832012881e-08,0.545189420430926,253.0,1005.213654164624,197926.5073982528,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,70.4497743641604,53.73137026503218,1.970696546717427e-07,250154.418030146,2.814969441353646e-06,2.534042314934909e-06,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,253.0,-470.0,1005.213611218428,1.607463317655532e-07,0.5451894203488209,253.0,1005.213611218428,438265.755101805,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,70.44977440159518,53.73137027822808,1.970696546701128e-07,250174.90233308,-1.141735857332622e-06,-1.027793383478855e-06,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,253.0,-470.0,1005.213329789493,8.449994374594316e-05,0.5451894198144781,253.0,1005.213329789496,862393.8392845447,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,70.44978776954868,53.73137569939355,1.966273512620145e-07,250191.3134057292,2.834654542349055e-06,2.551762834674271e-06,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,253.0,-470.0,1005.193121247098,0.0,0.5451891773037095,253.0,1005.193121247098,268614.5214288679,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,70.72533341491119,53.84616888611953,1.965716849881767e-07,252405.5392210326,1.141735858432859e-06,1.027784508117401e-06,0.0,0.996934001112886,0.9793090846119079,0.0,0.0
97,-48.55507548828125,-17.5,253.0,-470.0,116877.1170959389,0.01077225928914269,-32.92181126768605,253.0,116877.1170959394,-1.713038723377041e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,99.88896318683868,72.8293580539091,11641712.42075926,8484033.82415463,-25815641497469.8,-4.383599402599263e-08,798167390.1922601,0.0,0.0,0.01808319818652005,4.447088868334745e-08
98,-48.6049779296875,-8.75,253.0,-470.0,133950.4704578704,0.19960586212027,-32.30559333807817,253.0,133950.4704580191,-2.711267997767124e+16,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,87.69246119733675,64.17393479651743,11680870.00537734,8543785.02730269,-35634703758465.49,-4.437703108041505e-08,43422489182.04953,0.0,0.0,0.9573344130993834,6.462587907815571e-05
99,-48.6049779296875,-17.5,253.0,-470.0,133950.3754124523,0.01044563620234016,-32.30557760309975,253.0,133950.3754124527,-2.711268144394492e+16,-2.711268144585389e+16,11202922288.6673,2.711269264877618e+16,87.69230704320888,64.17398582034687,11680853.8969091,8543790.985652726,-35634747728361.55,-4.437114252943031e-08,43436403610.74044,0.0,0.0,0.9574028159338501,6.462318267273667e-05
100,-48.55507548828125,-26.25,253.0,-470.0,116877.0974749056,0.002052094306815514,-32.92180847414988,253.0,116877.0974749056,-1.713038790607644e+16,-1.713038790799605e+16,10394307610.23349,1.713039830230366e+16,99.88898589924271,72.82937427602072,11641712.25106291,8484033.660781903,-25815674521244.93,-4.382996765910133e-08,798160748.5812345,0.0,0.0,0.01808303545092828,4.447014406519431e-08
101,-48.50517304687499,-26.25,253.0,-470.0,106401.0910032635,0.002124971301689442,-33.47206540806079,253.0,106401.0910032635,-1.001678382665717e+16,-1.001678382858267e+16,10128791872.45466,1.001679395737455e+16,109.3897722763698,79.50745526747527,11626783.07312651,8447391.972379647,-18925826508244.1,-4.341434320201202e-08,19751424.73657177,0.0,0.0,0.0004492687785983911,4.758732644927843e-11
102,-48.50517304687499,-35.0,253.0,-470.0,106401.0850952203,0.0005669734995695122,-33.47206455426526,253.0,106401.0850952203,-1.001678404832991e+16,-1.00167840502552e+16,10128791893.31887,1.001679417904709e+16,109.3897791623026,79.50746014494739,11626783.02353897,8447391.922692213,-18925846060983.57,-4.340952322133582e-08,19751384.1676705,0.0,0.0,0.0004492674154256842,4.758705479963017e-11
